onset	duration	trial_type	braille_stimulus	targets	response_count
2.016	2.008	CUE_6_DOT	n/a	n/a	n/a
7.016	1.008	FIXCROSS	n/a	n/a	n/a
8.033	5.008	6_DOT_DETECTION	C#CEŁ	1	n/a
10.344	n/a	RESPONSE	n/a	n/a	1/1
13.066	1.008	FIXCROSS	n/a	n/a	n/a
14.083	5.008	6_DOT_DETECTION	ITŁEM	0	n/a
19.116	1.008	FIXCROSS	n/a	n/a	n/a
20.133	5.008	6_DOT_DETECTION	TEK##	2	n/a
22.864	n/a	RESPONSE	n/a	n/a	1/2
24.88	n/a	RESPONSE	n/a	n/a	2/2
25.166	1.008	FIXCROSS	n/a	n/a	n/a
26.183	5.008	6_DOT_DETECTION	O#LAS	1	n/a
28.6	n/a	RESPONSE	n/a	n/a	1/1
31.216	1.008	FIXCROSS	n/a	n/a	n/a
32.233	5.008	6_DOT_DETECTION	KOP#M	1	n/a
34.744	n/a	RESPONSE	n/a	n/a	1/1
36.0	n/a	RESPONSE	n/a	n/a	2/1
37.266	1.008	FIXCROSS	n/a	n/a	n/a
38.283	5.008	6_DOT_DETECTION	SB#OL	1	n/a
40.28	n/a	RESPONSE	n/a	n/a	1/1
43.316	1.008	FIXCROSS	n/a	n/a	n/a
44.333	5.008	6_DOT_DETECTION	##KAT	2	n/a
46.424	n/a	RESPONSE	n/a	n/a	1/2
49.366	1.008	FIXCROSS	n/a	n/a	n/a
50.383	5.008	6_DOT_DETECTION	DTIDI	0	n/a
57.424	2.008	CUE_REST	n/a	n/a	n/a
62.424	1.008	FIXCROSS	n/a	n/a	n/a
68.474	1.008	FIXCROSS	n/a	n/a	n/a
75.533	2.008	CUE_6_DOT	n/a	n/a	n/a
80.533	1.008	FIXCROSS	n/a	n/a	n/a
81.55	5.008	6_DOT_DETECTION	BUT##	2	n/a
84.584	n/a	RESPONSE	n/a	n/a	1/2
86.583	1.008	FIXCROSS	n/a	n/a	n/a
87.6	5.008	6_DOT_DETECTION	APD#C	1	n/a
92.633	1.008	FIXCROSS	n/a	n/a	n/a
93.649	5.009	6_DOT_DETECTION	EUBEC	0	n/a
98.683	1.008	FIXCROSS	n/a	n/a	n/a
99.7	5.008	6_DOT_DETECTION	KMŁKM	0	n/a
104.733	1.008	FIXCROSS	n/a	n/a	n/a
105.75	5.008	6_DOT_DETECTION	#PSU#	2	n/a
109.024	n/a	RESPONSE	n/a	n/a	1/2
110.783	1.008	FIXCROSS	n/a	n/a	n/a
111.8	5.008	6_DOT_DETECTION	PMSKK	0	n/a
116.833	1.008	FIXCROSS	n/a	n/a	n/a
117.85	5.008	6_DOT_DETECTION	T#BUD	1	n/a
119.64	n/a	RESPONSE	n/a	n/a	1/1
122.883	1.008	FIXCROSS	n/a	n/a	n/a
123.9	5.008	6_DOT_DETECTION	#KMBŁ	1	n/a
125.88	n/a	RESPONSE	n/a	n/a	1/1
130.441	2.008	CUE_REST	n/a	n/a	n/a
136.941	1.008	FIXCROSS	n/a	n/a	n/a
142.991	1.008	FIXCROSS	n/a	n/a	n/a
150.55	2.008	CUE_6_DOT	n/a	n/a	n/a
157.05	1.008	FIXCROSS	n/a	n/a	n/a
158.066	5.008	6_DOT_DETECTION	A#ŁAP	1	n/a
159.984	n/a	RESPONSE	n/a	n/a	1/1
163.1	1.008	FIXCROSS	n/a	n/a	n/a
164.116	5.008	6_DOT_DETECTION	TYŁ##	2	n/a
166.224	n/a	RESPONSE	n/a	n/a	1/2
168.64	n/a	RESPONSE	n/a	n/a	2/2
169.15	1.008	FIXCROSS	n/a	n/a	n/a
170.166	5.008	6_DOT_DETECTION	TOK##	2	n/a
172.704	n/a	RESPONSE	n/a	n/a	1/2
173.824	n/a	RESPONSE	n/a	n/a	2/2
175.2	1.008	FIXCROSS	n/a	n/a	n/a
