onset	duration	condition	trial_type	braille_stimulus	response_val	response_type
2.016	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
7.016	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
8.033	5.008	LEXICAL_DECISION	PSEUDOWORD	SAMAT	n/a	n/a
13.68	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
15.066	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
16.082	5.008	LEXICAL_DECISION	PSEUDOWORD	BLOSK	n/a	n/a
22.216	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
23.116	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
24.132	5.008	LEXICAL_DECISION	WORD	OBCE	n/a	n/a
30.28	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
31.166	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
32.182	5.008	LEXICAL_DECISION	WORD	BOM	n/a	n/a
37.0	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
39.216	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
40.233	5.008	LEXICAL_DECISION	WORD	TAMA	n/a	n/a
45.856	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
49.274	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
54.274	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
55.291	5.008	6_DOT_DETECTION	NO_6-DOT	LKROR	n/a	n/a
61.36	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
62.324	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
63.341	5.008	6_DOT_DETECTION	NO_6-DOT	KCSR	n/a	n/a
66.696	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
70.374	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
71.391	5.008	6_DOT_DETECTION	6-DOT	##CU	n/a	n/a
73.28	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
78.424	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
79.441	5.008	6_DOT_DETECTION	6-DOT	#B#	n/a	n/a
81.816	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
86.474	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
87.491	5.008	6_DOT_DETECTION	6-DOT	#PI#	n/a	n/a
90.536	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
95.533	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
100.533	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
101.549	5.008	LEXICAL_DECISION	PSEUDOWORD	MICE	n/a	n/a
108.232	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
