onset	duration	trial_type	taxonomy	behavior	task	repetition	response_time	mirror	stim_file
284.0	2.0	insect_fighting	insect	fighting	taxonomy	none	none	no	insect_fighting_2.mp4
288.0	2.0	primate_running	primate	running	taxonomy	none	none	yes	primate_running_1.mp4
292.0	2.0	reptile_swimming	reptile	swimming	taxonomy	none	none	no	reptile_swimming_2.mp4
296.0	2.0	primate_eating	primate	eating	taxonomy	none	none	yes	primate_eating_2.mp4
300.0	2.0	primate_swimming	primate	swimming	taxonomy	taxonomy	0.723587989807	no	primate_swimming_1.mp4
304.0	2.0	reptile_running	reptile	running	taxonomy	none	none	no	reptile_running_2.mp4
308.0	2.0	insect_fighting	insect	fighting	taxonomy	none	none	no	insect_fighting_1.mp4
316.0	2.0	ungulate_swimming	ungulate	swimming	taxonomy	none	none	no	ungulate_swimming_1.mp4
320.0	2.0	bird_running	bird	running	taxonomy	none	none	no	bird_running_2.mp4
324.0	2.0	insect_swimming	insect	swimming	taxonomy	none	none	yes	insect_swimming_1.mp4
328.0	2.0	bird_eating	bird	eating	taxonomy	none	none	yes	bird_eating_2.mp4
332.0	2.0	primate_running	primate	running	taxonomy	none	none	yes	primate_running_2.mp4
336.0	2.0	reptile_fighting	reptile	fighting	taxonomy	none	none	no	reptile_fighting_2.mp4
340.0	2.0	ungulate_swimming	ungulate	swimming	taxonomy	none	none	yes	ungulate_swimming_1.mp4
344.0	2.0	primate_fighting	primate	fighting	taxonomy	none	none	yes	primate_fighting_2.mp4
348.0	2.0	insect_running	insect	running	taxonomy	none	none	yes	insect_running_1.mp4
352.0	2.0	ungulate_eating	ungulate	eating	taxonomy	none	none	no	ungulate_eating_1.mp4
356.0	2.0	primate_fighting	primate	fighting	taxonomy	none	none	yes	primate_fighting_1.mp4
360.0	2.0	insect_eating	insect	eating	taxonomy	none	none	no	insect_eating_1.mp4
364.0	2.0	bird_fighting	bird	fighting	taxonomy	none	none	yes	bird_fighting_2.mp4
368.0	2.0	ungulate_fighting	ungulate	fighting	taxonomy	behavior	none	no	ungulate_fighting_2.mp4
372.0	2.0	insect_running	insect	running	taxonomy	none	none	no	insect_running_1.mp4
376.0	2.0	primate_swimming	primate	swimming	taxonomy	none	none	yes	primate_swimming_1.mp4
