onset	duration	trial_type	correct
4	6.0	CS1	1
14	6.0	MS4	1
24	6.0	MS2	1
34	6.0	MS2	1
44	6.0	MS1	1
54	6.0	MS3	1
64	6.0	MS1	1
76	6.0	MS4	1
88	6.0	MS1	1
98	6.0	CS3	1
108	6.0	MS4	1
118	6.0	CS1	1
128	6.0	CS2	1
140	6.0	MS4	1
150	6.0	CS4	1
162	6.0	MS1	1
172	6.0	CS2	1
182	6.0	MS3	1
192	6.0	CS1	1
202	6.0	CS4	1
212	6.0	CS2	1
222	6.0	CS4	1
234	6.0	CS2	1
248	6.0	CS4	1
264	6.0	MS2	1
278	6.0	MS3	1
292	6.0	CS3	1
302	6.0	MS1	1
312	6.0	CS4	1
326	6.0	MS2	1
338	6.0	MS4	1
350	6.0	CS3	1
362	6.0	CS2	1
372	6.0	MS2	1
382	6.0	CS3	1
394	6.0	CS1	1
404	6.0	CS1	1
418	6.0	MS3	1
428	6.0	CS3	1
438	6.0	MS3	1
