onset	duration	trial_type	correct
4	6.0	MS3	1
14	6.0	MS1	1
30	6.0	CS3	1
42	6.0	MS4	1
54	6.0	MS3	1
64	6.0	CS4	1
74	6.0	CS4	1
90	6.0	CS4	1
100	6.0	CS1	1
110	6.0	MS4	1
120	6.0	CS2	1
130	6.0	CS4	1
140	6.0	CS3	1
150	6.0	MS4	1
160	6.0	MS4	1
172	6.0	CS4	1
184	6.0	MS2	1
194	6.0	MS2	1
204	6.0	MS1	1
218	6.0	MS1	1
228	6.0	CS1	1
238	6.0	MS1	1
250	6.0	CS3	1
260	6.0	MS3	1
270	6.0	CS3	1
280	6.0	CS1	1
292	6.0	MS1	1
302	6.0	CS2	1
312	6.0	MS3	1
322	6.0	CS2	1
332	6.0	MS4	1
346	6.0	CS1	1
358	6.0	CS3	1
368	6.0	CS2	1
378	6.0	MS2	1
390	6.0	MS2	1
404	6.0	MS2	1
414	6.0	CS1	1
426	6.0	MS3	1
438	6.0	CS2	1
