onset	duration	trial_type	correct
4	6.0	MS3	1
14	6.0	MS4	1
24	6.0	MS1	1
38	6.0	MS4	1
48	6.0	CS3	1
62	6.0	CS3	1
72	6.0	CS3	1
82	6.0	CS2	1
92	6.0	CS1	1
102	6.0	CS4	1
112	6.0	CS2	1
124	6.0	MS3	1
134	6.0	MS2	1
144	6.0	MS3	1
154	6.0	CS2	1
166	6.0	CS1	1
178	6.0	MS3	1
188	6.0	MS3	1
198	6.0	CS4	1
208	6.0	MS4	1
224	6.0	CS2	1
240	6.0	CS3	1
250	6.0	MS2	1
262	6.0	MS2	1
272	6.0	CS3	1
284	6.0	MS1	1
294	6.0	CS4	1
308	6.0	MS1	1
318	6.0	MS2	1
330	6.0	CS4	1
340	6.0	CS1	1
356	6.0	CS1	1
366	6.0	MS4	1
378	6.0	MS4	1
388	6.0	CS4	1
398	6.0	MS2	1
408	6.0	CS2	1
418	6.0	MS1	1
428	6.0	CS1	1
438	6.0	MS1	1
