onset	duration	trial_type	correct
4	6.0	MS1	1
18	6.0	CS1	1
30	6.0	MS1	1
40	6.0	CS1	1
50	6.0	CS3	1
60	6.0	CS3	1
70	6.0	CS2	1
80	6.0	MS1	1
90	6.0	MS3	1
100	6.0	MS3	1
110	6.0	MS4	1
120	6.0	MS2	1
130	6.0	MS4	1
140	6.0	MS3	1
150	6.0	MS1	1
160	6.0	CS4	1
170	6.0	CS1	1
180	6.0	MS2	1
190	6.0	CS1	1
200	6.0	CS1	1
212	6.0	CS2	1
222	6.0	CS3	1
234	6.0	MS2	1
244	6.0	MS2	1
258	6.0	CS4	1
270	6.0	CS4	1
284	6.0	CS2	1
294	6.0	MS3	1
310	6.0	CS3	1
320	6.0	MS4	1
336	6.0	MS4	1
348	6.0	CS2	1
360	6.0	MS3	1
370	6.0	CS4	1
380	6.0	MS4	1
390	6.0	MS1	1
402	6.0	CS4	1
412	6.0	CS3	1
428	6.0	MS2	1
438	6.0	CS2	1
