onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2310	Admire	1	Other	4860	2.0
40	10	2209	Preparation	2	Past	9883	1.0
56	10	1601	Zoo	3	Other	6826	1.0
72	10	CS14	Control Stimulus	4	Control	1829	3.0
88	10	2160	Nurture	5	Past	6832	1.0
104	10	2092	Clowns	6	Null	0	n/a
120	10	2091	Friends	7	Future	10470	3.0
136	10	2216	Cooperation	8	Other	6911	2.0
152	10	CS12	Control Stimulus	9	Control	1967	2.0
168	10	2341	Children	10	Other	7367	3.0
184	10	2150	Safe	11	Future	5266	1.0
200	10	9421	War	12	Past	8315	1.0
216	10	2191	HardWork	13	Future	9952	2.0
232	10	2399	Headache	14	Null	0	n/a
248	10	2312	Poverty	15	Past	5940	1.0
264	10	1112	Danger	16	Null	0	n/a
280	10	CS10	Control Stimulus	17	Control	1820	2.0
296	10	2360	Home	18	Null	0	n/a
312	10	2346	Waterfall	19	Other	3953	1.0
328	10	2272	Alone	20	Past	5099	1.0
344	10	2391	Outdoors	21	Future	8759	1.0
360	10	CS09	Control Stimulus	22	Control	1674	3.0
376	10	2130	Anger	23	Null	0	n/a
392	10	2224	Amusement	24	Past	4546	1.0
408	10	2208	Celebration	25	Future	7197	2.0
424	10	CS13	Control Stimulus	26	Control	1582	1.0
440	10	CS15	Control Stimulus	27	Control	1858	3.0
456	10	2205	Loss	28	Other	7550	2.0
472	10	2331	White	29	Future	8181	1.0
488	10	2340	Laughter	30	Null	0	n/a
