onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	CS27	Control Stimulus	1	Control	1592	1.0
40	10	8010	Exhaustion	2	Future	3043	1.0
56	10	6834	Change	3	Other	10728	1.0
72	10	7550	Computer	4	Other	10544	1.0
88	10	5628	Accomplishment	5	Null	0	n/a
104	10	8040	Concentration	6	Past	10671	1.0
120	10	8232	Defeat	7	Future	10582	1.0
136	10	9041	Powerless	8	Null	0	n/a
152	10	9417	Penalty	9	Past	10587	1.0
168	10	9220	Cemetery	10	Past	7555	1.0
184	10	8032	Skating	11	Other	10580	3.0
200	10	6010	Trapped	12	Null	0	n/a
216	10	8090	Olympics	13	Other	10277	1.0
232	10	CS31	Control Stimulus	14	Control	1682	1.0
248	10	4622	Beach	15	Future	10537	1.0
264	10	CS32	Control Stimulus	16	Control	1705	2.0
280	10	9582	Surgery	17	Null	0	n/a
296	10	8490	Rollercoaster	18	Past	9187	1.0
312	10	CS28	Control Stimulus	19	Control	1671	3.0
328	10	CS26	Control Stimulus	20	Control	1739	2.0
344	10	6838	Shock	21	Null	0	n/a
360	10	5455	Navigation	22	Past	10546	1.0
376	10	5410	Performance	23	Future	10966	1.0
392	10	9210	Rain	24	Other	10845	1.0
408	10	5622	Bravery	25	Future	11506	2.0
424	10	5830	Sunset	26	Other	9933	1.0
440	10	7493	Lost	27	Past	10721	3.0
456	10	CS25	Control Stimulus	28	Control	1544	1.0
472	10	7620	Airplane	29	Null	0	n/a
488	10	7325	Summer	30	Future	10778	1.0
