onset	duration	condition	trial_type	braille_stimulus	response_val	response_type
2.017	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
7.017	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
8.034	5.008	LEXICAL_DECISION	PSEUDOWORD	TOSY	n/a	n/a
11.976	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
15.066	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
16.084	5.008	LEXICAL_DECISION	WORD	TYMI	n/a	n/a
21.096	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
23.116	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
24.134	5.008	LEXICAL_DECISION	WORD	SPIS	n/a	n/a
29.856	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
31.167	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
32.184	5.008	LEXICAL_DECISION	PSEUDOWORD	DAPIE	n/a	n/a
37.096	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
39.216	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
40.234	5.008	LEXICAL_DECISION	WORD	MIAŁ	n/a	n/a
43.896	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
49.275	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
54.275	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
55.292	5.008	6_DOT_DETECTION	NO_6-DOT	BDMTŁ	n/a	n/a
58.32	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
62.325	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
63.342	5.008	6_DOT_DETECTION	NO_6-DOT	BCŁI	n/a	n/a
65.576	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
70.375	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
71.392	5.008	6_DOT_DETECTION	6-DOT	#KCD#	n/a	n/a
73.68	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
78.425	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
79.442	5.008	6_DOT_DETECTION	6-DOT	D#E#L	n/a	n/a
82.376	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
86.475	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
87.492	5.008	6_DOT_DETECTION	NO_6-DOT	YMTKO	n/a	n/a
90.672	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
95.534	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
100.534	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
101.55	5.009	LEXICAL_DECISION	PSEUDOWORD	TYBE	n/a	n/a
106.552	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
108.583	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
109.6	5.008	LEXICAL_DECISION	PSEUDOWORD	LIET	n/a	n/a
113.736	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
116.633	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
117.65	5.008	LEXICAL_DECISION	PSEUDOWORD	ALTUM	n/a	n/a
122.992	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
124.684	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
125.7	5.008	LEXICAL_DECISION	WORD	SŁUP	n/a	n/a
130.152	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
132.733	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
133.75	5.008	LEXICAL_DECISION	WORD	KIT	n/a	n/a
137.272	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
142.292	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
