onset	duration	trial_type	response_time	correct	stim_file
9.3	1.2	Frequent  	0.6	100	98.png
21.4	1.2	Infrequent	0.6	100	98.png
33.2	1.2	Frequent  	0.7	100	145.png
45.2	1.2	Frequent  	0.7	100	98.png
57.2	1.2	Infrequent	1.0	100	17.png
69.3	1.2	Frequent  	0.6	100	145.png
81.5	1.2	Infrequent	1.0	0	146.png
93.2	1.2	Frequent  	0.8	100	145.png
105.2	1.2	Frequent  	0.5	100	98.png
117.2	1.2	Frequent  	1.0	100	146.png
129.3	1.2	Frequent  	0.8	100	17.png
141.2	1.2	Frequent  	0.6	100	98.png
153.2	1.2	Frequent  	0.8	0	17.png
165.2	1.2	Frequent  	0.8	100	146.png
177.4	1.2	Frequent  	0.5	100	98.png
189.2	1.2	Frequent  	0.9	0	17.png
201.3	1.2	Frequent  	0.6	100	146.png
213.7	1.2	Frequent  	0.7	100	145.png
225.2	1.2	Frequent  	0.7	100	146.png
237.2	1.2	Infrequent	0.7	100	145.png
249.4	1.2	Frequent  	0.5	100	145.png
261.4	1.2	Frequent  	0.8	100	146.png
273.4	1.2	Frequent  	0.8	100	17.png
285.2	1.2	Frequent  	0.8	0	17.png
