onset	duration	trial_type	response_time	correct	stim_file
9.5	1.2	Frequent  	0.8	100	146.png
21.4	1.2	Infrequent	0.5	100	145.png
33.2	1.2	Infrequent	0.7	100	17.png
45.2	1.2	Frequent  	0.5	100	98.png
57.4	1.2	Frequent  	0.5	100	98.png
69.2	1.2	Frequent  	0.6	100	145.png
81.2	1.2	Frequent  	0.6	100	17.png
93.3	1.2	Frequent  	0.5	100	98.png
105.3	1.2	Frequent  	0.7	100	146.png
117.2	1.2	Frequent  	0.7	100	145.png
129.2	1.2	Infrequent	0.5	100	98.png
141.3	1.2	Frequent  	0.6	100	17.png
153.6	1.2	Frequent  	0.7	100	145.png
165.2	1.2	Frequent  	0.8	100	146.png
177.3	1.2	Frequent  	0.5	100	98.png
189.2	1.2	Frequent  	0.8	100	17.png
201.2	1.2	Frequent  	0.7	100	146.png
213.2	1.2	Frequent  	0.7	100	145.png
225.2	1.2	Infrequent	0.7	100	146.png
237.2	1.2	Frequent  	0.7	100	145.png
249.4	1.2	Frequent  	0.9	100	17.png
261.2	1.2	Frequent  	0.7	0	98.png
273.2	1.2	Frequent  	0.7	0	146.png
285.2	1.2	Frequent  	0.8	100	17.png
