onset	duration	trial_type	response_time	correct	stim_file
9.3	1.2	Frequent  	0.7	100	145.png
21.4	1.2	Frequent  	0.9	100	17.png
33.2	1.2	Frequent  	0.5	100	98.png
45.2	1.2	Frequent  	0.5	100	98.png
57.2	1.2	Frequent  	0.0	0	146.png
69.2	1.2	Infrequent	0.7	100	98.png
81.5	1.2	Frequent  	0.8	100	146.png
93.2	1.2	Frequent  	0.5	100	98.png
105.3	1.2	Infrequent	0.7	100	146.png
117.2	1.2	Frequent  	0.8	100	17.png
129.4	1.2	Frequent  	0.8	100	145.png
141.2	1.2	Frequent  	0.6	100	98.png
153.3	1.2	Frequent  	0.6	100	98.png
165.2	1.2	Frequent  	0.8	100	17.png
177.2	1.2	Infrequent	0.7	100	145.png
189.2	1.2	Frequent  	0.6	100	17.png
201.4	1.2	Frequent  	0.8	100	146.png
213.4	1.2	Frequent  	0.8	100	145.png
225.2	1.2	Frequent  	0.7	100	146.png
237.3	1.2	Frequent  	0.7	100	145.png
249.2	1.2	Infrequent	0.8	100	17.png
261.2	1.2	Frequent  	0.7	100	146.png
273.2	1.2	Frequent  	0.7	100	145.png
285.2	1.2	Frequent  	0.8	100	17.png
