onset	duration	trial_type	response_time	correct	stim_file
9.3	1.2	Frequent  	0.8	100	145.png
21.2	1.2	Infrequent	0.6	0	146.png
33.2	1.2	Infrequent	0.6	100	98.png
45.4	1.2	Frequent  	0.8	100	145.png
57.2	1.2	Frequent  	0.6	100	145.png
69.3	1.2	Frequent  	0.8	100	146.png
81.2	1.2	Infrequent	0.7	100	17.png
93.2	1.2	Frequent  	0.7	100	17.png
105.2	1.2	Frequent  	0.7	0	146.png
117.2	1.2	Frequent  	0.6	100	98.png
129.4	1.2	Frequent  	0.6	100	146.png
141.4	1.2	Frequent  	0.6	100	145.png
153.2	1.2	Frequent  	0.6	100	145.png
165.2	1.2	Frequent  	0.9	100	17.png
177.2	1.2	Frequent  	0.6	100	17.png
189.4	1.2	Frequent  	0.9	100	146.png
201.3	1.2	Frequent  	0.6	100	98.png
213.2	1.2	Frequent  	0.5	100	98.png
225.2	1.2	Frequent  	0.7	100	146.png
237.2	1.2	Frequent  	0.5	100	98.png
249.3	1.2	Frequent  	0.7	100	17.png
261.2	1.2	Frequent  	0.5	100	98.png
273.4	1.2	Infrequent	0.7	100	145.png
285.2	1.2	Frequent  	0.6	100	17.png
