onset	duration	condition	trial_type	braille_stimulus	response_val	response_type
2.012	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
7.012	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
8.028	5.008	LEXICAL_DECISION	PSEUDOWORD	SES-TP-1_TASK-LDTTACTBRA_WORD-SEMA	n/a	n/a
11.188	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
15.061	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
16.078	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-TYPU	n/a	n/a
18.565	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
23.112	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
24.128	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-STEK	n/a	n/a
26.548	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
31.162	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
32.179	5.008	LEXICAL_DECISION	PSEUDOWORD	SES-TP-1_TASK-LDTTACTBRA_WORD-LIŁCU	n/a	n/a
34.163	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
39.212	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
40.229	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-TOPI	n/a	n/a
43.185	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
49.27	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
54.27	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
55.287	5.008	6_DOT_DETECTION	NO_6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-KŁMLK	n/a	n/a
58.123	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
62.32	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
63.337	5.008	6_DOT_DETECTION	NO_6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-PŁKL	n/a	n/a
67.105	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
70.37	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
71.387	5.008	6_DOT_DETECTION	6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-#M#ŁS	n/a	n/a
72.548	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
78.42	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
79.437	5.008	6_DOT_DETECTION	6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-KB##	n/a	n/a
82.344	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
86.47	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
87.487	5.008	6_DOT_DETECTION	NO_6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-TKLKŁ	n/a	n/a
91.407	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
95.529	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
100.529	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
101.545	5.009	LEXICAL_DECISION	PSEUDOWORD	SES-TP-1_TASK-LDTTACTBRA_WORD-BYLU	n/a	n/a
104.441	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
108.579	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
109.595	5.008	LEXICAL_DECISION	PSEUDOWORD	SES-TP-1_TASK-LDTTACTBRA_WORD-OKCY	n/a	n/a
112.918	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
116.629	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
117.645	5.008	LEXICAL_DECISION	PSEUDOWORD	SES-TP-1_TASK-LDTTACTBRA_WORD-DOAST	n/a	n/a
121.001	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
124.679	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
125.695	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-SMOK	n/a	n/a
128.351	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
132.729	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
133.746	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-AKT	n/a	n/a
137.633	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
142.287	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
146.787	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
147.804	5.008	6_DOT_DETECTION	6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-DK##L	n/a	n/a
150.407	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
154.837	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
155.854	5.008	6_DOT_DETECTION	NO_6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-KDTLŁ	n/a	n/a
157.897	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
162.887	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
163.904	5.008	6_DOT_DETECTION	6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-P#T#	n/a	n/a
165.762	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
170.937	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
