onset	duration	trial_type	braille_stimulus	targets	response_count
2.012	2.008	CUE_6_DOT	n/a	n/a	n/a
7.012	1.008	FIXCROSS	n/a	n/a	n/a
8.029	5.008	6_DOT_DETECTION	POD##	2	n/a
9.54	n/a	RESPONSE	n/a	n/a	1/2
11.958	n/a	RESPONSE	n/a	n/a	2/2
13.062	1.008	FIXCROSS	n/a	n/a	n/a
14.079	5.008	6_DOT_DETECTION	SSTMT	0	n/a
15.474	n/a	RESPONSE	n/a	n/a	1/0
17.394	n/a	RESPONSE	n/a	n/a	2/0
19.112	1.008	FIXCROSS	n/a	n/a	n/a
20.129	5.008	6_DOT_DETECTION	##KOT	2	n/a
21.83	n/a	RESPONSE	n/a	n/a	1/2
24.478	n/a	RESPONSE	n/a	n/a	2/2
25.162	1.008	FIXCROSS	n/a	n/a	n/a
26.179	5.008	6_DOT_DETECTION	OCPPC	0	n/a
31.154	n/a	RESPONSE	n/a	n/a	1/0
31.212	1.008	FIXCROSS	n/a	n/a	n/a
32.229	5.008	6_DOT_DETECTION	AKT##	2	n/a
35.009	n/a	RESPONSE	n/a	n/a	1/2
36.288	n/a	RESPONSE	n/a	n/a	2/2
37.262	1.008	FIXCROSS	n/a	n/a	n/a
38.278	5.009	6_DOT_DETECTION	ODŁSE	0	n/a
39.654	n/a	RESPONSE	n/a	n/a	1/0
41.794	n/a	RESPONSE	n/a	n/a	2/0
43.312	1.008	FIXCROSS	n/a	n/a	n/a
44.328	5.009	6_DOT_DETECTION	#LMCI	1	n/a
45.849	n/a	RESPONSE	n/a	n/a	1/1
48.206	n/a	RESPONSE	n/a	n/a	2/1
49.362	1.008	FIXCROSS	n/a	n/a	n/a
50.378	5.009	6_DOT_DETECTION	##MYK	2	n/a
53.773	n/a	RESPONSE	n/a	n/a	1/2
57.42	2.008	CUE_REST	n/a	n/a	n/a
62.42	1.008	FIXCROSS	n/a	n/a	n/a
68.47	1.008	FIXCROSS	n/a	n/a	n/a
75.529	2.008	CUE_6_DOT	n/a	n/a	n/a
80.529	1.008	FIXCROSS	n/a	n/a	n/a
81.545	5.008	6_DOT_DETECTION	KUŁ##	2	n/a
82.668	n/a	RESPONSE	n/a	n/a	1/2
84.709	n/a	RESPONSE	n/a	n/a	2/2
86.579	1.008	FIXCROSS	n/a	n/a	n/a
87.595	5.008	6_DOT_DETECTION	OALDO	0	n/a
89.108	n/a	RESPONSE	n/a	n/a	1/0
90.78	n/a	RESPONSE	n/a	n/a	2/0
92.629	1.008	FIXCROSS	n/a	n/a	n/a
92.649	n/a	RESPONSE	n/a	n/a	3/0
93.645	5.008	6_DOT_DETECTION	#TLI#	2	n/a
95.106	n/a	RESPONSE	n/a	n/a	1/2
96.438	n/a	RESPONSE	n/a	n/a	2/2
98.634	n/a	RESPONSE	n/a	n/a	3/2
98.679	1.008	FIXCROSS	n/a	n/a	n/a
99.695	5.008	6_DOT_DETECTION	KAAE#	1	n/a
103.963	n/a	RESPONSE	n/a	n/a	1/1
104.729	1.008	FIXCROSS	n/a	n/a	n/a
105.745	5.008	6_DOT_DETECTION	#DLA#	2	n/a
106.678	n/a	RESPONSE	n/a	n/a	1/2
108.215	n/a	RESPONSE	n/a	n/a	2/2
109.534	n/a	RESPONSE	n/a	n/a	3/2
110.779	1.008	FIXCROSS	n/a	n/a	n/a
111.795	5.009	6_DOT_DETECTION	KCCDB	0	n/a
112.361	n/a	RESPONSE	n/a	n/a	1/0
114.114	n/a	RESPONSE	n/a	n/a	2/0
116.149	n/a	RESPONSE	n/a	n/a	3/0
116.829	1.008	FIXCROSS	n/a	n/a	n/a
117.845	5.008	6_DOT_DETECTION	##OKO	2	n/a
119.316	n/a	RESPONSE	n/a	n/a	1/2
121.41	n/a	RESPONSE	n/a	n/a	2/2
122.879	1.008	FIXCROSS	n/a	n/a	n/a
122.903	n/a	RESPONSE	n/a	n/a	3/2
123.896	5.008	6_DOT_DETECTION	TADMM	0	n/a
130.266	n/a	RESPONSE	n/a	n/a	1/0
130.437	2.008	CUE_REST	n/a	n/a	n/a
136.937	1.008	FIXCROSS	n/a	n/a	n/a
142.987	1.008	FIXCROSS	n/a	n/a	n/a
150.546	2.008	CUE_6_DOT	n/a	n/a	n/a
157.046	1.008	FIXCROSS	n/a	n/a	n/a
158.062	5.009	6_DOT_DETECTION	AII#P	1	n/a
158.921	n/a	RESPONSE	n/a	n/a	1/1
160.176	n/a	RESPONSE	n/a	n/a	2/1
161.199	n/a	RESPONSE	n/a	n/a	3/1
163.096	1.008	FIXCROSS	n/a	n/a	n/a
164.112	5.009	6_DOT_DETECTION	#SAM#	2	n/a
164.996	n/a	RESPONSE	n/a	n/a	1/2
166.085	n/a	RESPONSE	n/a	n/a	2/2
168.094	n/a	RESPONSE	n/a	n/a	3/2
169.146	1.008	FIXCROSS	n/a	n/a	n/a
170.162	5.008	6_DOT_DETECTION	SUB#D	1	n/a
171.521	n/a	RESPONSE	n/a	n/a	1/1
173.145	n/a	RESPONSE	n/a	n/a	2/1
175.131	n/a	RESPONSE	n/a	n/a	3/1
175.196	1.008	FIXCROSS	n/a	n/a	n/a
176.212	5.008	6_DOT_DETECTION	#KOK#	2	n/a
177.415	n/a	RESPONSE	n/a	n/a	1/2
178.86	n/a	RESPONSE	n/a	n/a	2/2
180.853	n/a	RESPONSE	n/a	n/a	3/2
181.246	1.008	FIXCROSS	n/a	n/a	n/a
182.262	5.009	6_DOT_DETECTION	TMSŁE	0	n/a
183.39	n/a	RESPONSE	n/a	n/a	1/0
184.919	n/a	RESPONSE	n/a	n/a	2/0
186.389	n/a	RESPONSE	n/a	n/a	3/0
187.296	1.008	FIXCROSS	n/a	n/a	n/a
188.312	5.009	6_DOT_DETECTION	OTO##	2	n/a
191.923	n/a	RESPONSE	n/a	n/a	1/2
192.864	n/a	RESPONSE	n/a	n/a	2/2
193.346	1.008	FIXCROSS	n/a	n/a	n/a
194.362	5.009	6_DOT_DETECTION	#LDDO	1	n/a
195.34	n/a	RESPONSE	n/a	n/a	1/1
196.334	n/a	RESPONSE	n/a	n/a	2/1
197.279	n/a	RESPONSE	n/a	n/a	3/1
199.076	n/a	RESPONSE	n/a	n/a	4/1
199.396	1.008	FIXCROSS	n/a	n/a	n/a
200.412	5.009	6_DOT_DETECTION	##ODA	2	n/a
201.555	n/a	RESPONSE	n/a	n/a	1/2
202.634	n/a	RESPONSE	n/a	n/a	2/2
203.745	n/a	RESPONSE	n/a	n/a	3/2
204.788	n/a	RESPONSE	n/a	n/a	4/2
206.954	2.008	CUE_REST	n/a	n/a	n/a
211.454	1.008	FIXCROSS	n/a	n/a	n/a
217.504	1.008	FIXCROSS	n/a	n/a	n/a
225.562	2.008	CUE_6_DOT	n/a	n/a	n/a
231.562	1.008	FIXCROSS	n/a	n/a	n/a
232.579	5.008	6_DOT_DETECTION	#KIM#	2	n/a
233.228	n/a	RESPONSE	n/a	n/a	1/2
233.967	n/a	RESPONSE	n/a	n/a	2/2
234.837	n/a	RESPONSE	n/a	n/a	3/2
235.965	n/a	RESPONSE	n/a	n/a	4/2
236.884	n/a	RESPONSE	n/a	n/a	5/2
237.612	1.008	FIXCROSS	n/a	n/a	n/a
238.628	5.009	6_DOT_DETECTION	AK#OC	1	n/a
239.882	n/a	RESPONSE	n/a	n/a	1/1
240.897	n/a	RESPONSE	n/a	n/a	2/1
242.05	n/a	RESPONSE	n/a	n/a	3/1
243.554	n/a	RESPONSE	n/a	n/a	4/1
243.662	1.008	FIXCROSS	n/a	n/a	n/a
244.679	5.008	6_DOT_DETECTION	CTP#C	1	n/a
245.478	n/a	RESPONSE	n/a	n/a	1/1
247.575	n/a	RESPONSE	n/a	n/a	2/1
248.979	n/a	RESPONSE	n/a	n/a	3/1
249.712	1.008	FIXCROSS	n/a	n/a	n/a
250.729	5.008	6_DOT_DETECTION	BAL##	2	n/a
252.9	n/a	RESPONSE	n/a	n/a	1/2
254.009	n/a	RESPONSE	n/a	n/a	2/2
255.439	n/a	RESPONSE	n/a	n/a	3/2
255.762	1.008	FIXCROSS	n/a	n/a	n/a
256.779	5.008	6_DOT_DETECTION	#KOC#	2	n/a
258.087	n/a	RESPONSE	n/a	n/a	1/2
259.662	n/a	RESPONSE	n/a	n/a	2/2
261.045	n/a	RESPONSE	n/a	n/a	3/2
261.812	1.008	FIXCROSS	n/a	n/a	n/a
262.829	5.008	6_DOT_DETECTION	BO#BS	1	n/a
265.053	n/a	RESPONSE	n/a	n/a	1/1
266.349	n/a	RESPONSE	n/a	n/a	2/1
267.509	n/a	RESPONSE	n/a	n/a	3/1
267.862	1.008	FIXCROSS	n/a	n/a	n/a
268.879	5.008	6_DOT_DETECTION	#OBA#	2	n/a
269.877	n/a	RESPONSE	n/a	n/a	1/2
271.335	n/a	RESPONSE	n/a	n/a	2/2
273.143	n/a	RESPONSE	n/a	n/a	3/2
273.912	1.008	FIXCROSS	n/a	n/a	n/a
274.928	5.009	6_DOT_DETECTION	CDLD#	1	n/a
276.768	n/a	RESPONSE	n/a	n/a	1/1
278.254	n/a	RESPONSE	n/a	n/a	2/1
281.971	2.008	CUE_REST	n/a	n/a	n/a
285.971	1.008	FIXCROSS	n/a	n/a	n/a
292.021	1.008	FIXCROSS	n/a	n/a	n/a
299.579	2.008	CUE_6_DOT	n/a	n/a	n/a
305.079	1.008	FIXCROSS	n/a	n/a	n/a
306.096	5.008	6_DOT_DETECTION	TE#DK	1	n/a
306.875	n/a	RESPONSE	n/a	n/a	1/1
308.143	n/a	RESPONSE	n/a	n/a	2/1
309.572	n/a	RESPONSE	n/a	n/a	3/1
311.129	1.008	FIXCROSS	n/a	n/a	n/a
312.146	5.008	6_DOT_DETECTION	##LAM	2	n/a
314.0	n/a	RESPONSE	n/a	n/a	1/2
315.097	n/a	RESPONSE	n/a	n/a	2/2
315.947	n/a	RESPONSE	n/a	n/a	3/2
317.179	1.008	FIXCROSS	n/a	n/a	n/a
318.196	5.008	6_DOT_DETECTION	KUC##	2	n/a
319.695	n/a	RESPONSE	n/a	n/a	1/2
321.262	n/a	RESPONSE	n/a	n/a	2/2
322.802	n/a	RESPONSE	n/a	n/a	3/2
323.229	1.008	FIXCROSS	n/a	n/a	n/a
324.246	5.008	6_DOT_DETECTION	ATDUL	0	n/a
326.667	n/a	RESPONSE	n/a	n/a	1/0
327.557	n/a	RESPONSE	n/a	n/a	2/0
328.69	n/a	RESPONSE	n/a	n/a	3/0
329.279	1.008	FIXCROSS	n/a	n/a	n/a
330.295	5.009	6_DOT_DETECTION	##SYK	2	n/a
331.478	n/a	RESPONSE	n/a	n/a	1/2
332.572	n/a	RESPONSE	n/a	n/a	2/2
333.574	n/a	RESPONSE	n/a	n/a	3/2
335.1	n/a	RESPONSE	n/a	n/a	4/2
335.329	1.008	FIXCROSS	n/a	n/a	n/a
336.345	5.009	6_DOT_DETECTION	LBDLS	0	n/a
339.487	n/a	RESPONSE	n/a	n/a	1/0
341.054	n/a	RESPONSE	n/a	n/a	2/0
341.379	1.008	FIXCROSS	n/a	n/a	n/a
342.395	5.009	6_DOT_DETECTION	LIC##	2	n/a
343.398	n/a	RESPONSE	n/a	n/a	1/2
345.152	n/a	RESPONSE	n/a	n/a	2/2
346.22	n/a	RESPONSE	n/a	n/a	3/2
347.429	1.008	FIXCROSS	n/a	n/a	n/a
348.446	5.008	6_DOT_DETECTION	#BBTA	1	n/a
349.598	n/a	RESPONSE	n/a	n/a	1/1
350.827	n/a	RESPONSE	n/a	n/a	2/1
352.537	n/a	RESPONSE	n/a	n/a	3/1
354.488	2.008	CUE_REST	n/a	n/a	n/a
360.488	1.008	FIXCROSS	n/a	n/a	n/a
366.538	1.008	FIXCROSS	n/a	n/a	n/a
373.596	2.008	CUE_6_DOT	n/a	n/a	n/a
378.596	1.008	FIXCROSS	n/a	n/a	n/a
379.613	5.008	6_DOT_DETECTION	PAL##	2	n/a
382.623	n/a	RESPONSE	n/a	n/a	1/2
383.638	n/a	RESPONSE	n/a	n/a	2/2
384.646	1.008	FIXCROSS	n/a	n/a	n/a
384.722	n/a	RESPONSE	n/a	n/a	3/2
385.662	5.009	6_DOT_DETECTION	ACCDB	0	n/a
387.507	n/a	RESPONSE	n/a	n/a	1/0
390.696	1.008	FIXCROSS	n/a	n/a	n/a
391.712	5.009	6_DOT_DETECTION	##PAŁ	2	n/a
392.665	n/a	RESPONSE	n/a	n/a	1/2
393.599	n/a	RESPONSE	n/a	n/a	2/2
394.562	n/a	RESPONSE	n/a	n/a	3/2
395.988	n/a	RESPONSE	n/a	n/a	4/2
396.746	1.008	FIXCROSS	n/a	n/a	n/a
397.763	5.008	6_DOT_DETECTION	CB#CL	1	n/a
399.084	n/a	RESPONSE	n/a	n/a	1/1
400.124	n/a	RESPONSE	n/a	n/a	2/1
401.299	n/a	RESPONSE	n/a	n/a	3/1
402.485	n/a	RESPONSE	n/a	n/a	4/1
402.796	1.008	FIXCROSS	n/a	n/a	n/a
403.813	5.008	6_DOT_DETECTION	##BOK	2	n/a
404.54	n/a	RESPONSE	n/a	n/a	1/2
405.683	n/a	RESPONSE	n/a	n/a	2/2
406.798	n/a	RESPONSE	n/a	n/a	3/2
408.846	1.008	FIXCROSS	n/a	n/a	n/a
