onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id3	a1	n/a	n/a
20.08	5	face	id3	a1	2.38	same
25.04	5	fixation	n/a	n/a	n/a	n/a
30.08	5	face	id4	a1	2.32	different
35.08	5	face	id1	a5	2.76	different
40.08	5	face	id2	a5	2.32	different
45.08	5	face	id3	a5	2.54	different
50.09	5	face	id2	a3	2.28	different
55.09	5	face	id4	a3	2.01	different
60.09	5	face	id1	a3	3.11	different
65.09	5	face	id2	a4	2.2	different
70.09	5	face	id1	a1	2.23	different
75.09	5	face	id1	a2	2.31	same
80.08	5	face	id3	a3	2.32	different
85.1	5	face	id3	a4	2.11	same
90.1	5	face	id4	a2	2.16	different
95.1	5	face	id4	a4	3.76	same
100.09	5	face	id2	a1	2.15	different
105.09	5	face	id3	a2	2.05	different
110.09	5	face	id4	a5	2.32	different
115.11	5	face	id2	a2	2.29	different
120.11	5	face	id1	a4	2.52	different
125.1	5	face	id1	a4	3.4	same
130.07	5	fixation	n/a	n/a	n/a	n/a
135.1	5	face	id1	a2	2.17	same
140.12	5	face	id1	a5	2.23	same
145.12	5	face	id3	a4	3.07	different
150.11	5	face	id3	a5	2.37	different
155.11	5	face	id2	a4	2.33	different
160.11	5	face	id4	a5	2.95	different
165.11	5	face	id1	a3	n/a	n/a
170.13	5	face	id4	a4	2.16	same
175.12	5	face	id1	a1	2.07	different
180.12	5	face	id4	a2	2.01	different
185.12	5	face	id3	a3	2.78	different
190.12	5	face	id4	a3	2.26	different
195.12	5	face	id4	a1	2.83	same
200.13	5	face	id3	a2	2.54	different
205.13	5	face	id2	a1	2.12	different
210.13	5	face	id2	a2	2.17	same
215.13	5	face	id2	a5	2.13	same
220.13	5	face	id3	a1	2.17	different
225.13	5	face	id2	a3	2.37	different
230.13	5	face	id2	a3	2.29	same
235.1	5	fixation	n/a	n/a	n/a	n/a
240.14	5	face	id4	a2	2.09	different
245.14	5	face	id1	a5	2.3	different
250.14	5	face	id4	a3	2.88	different
255.14	5	face	id3	a5	2.43	different
260.13	5	face	id4	a4	2.15	different
265.15	5	face	id2	a5	2.13	different
270.15	5	face	id1	a3	2.1	different
275.15	5	face	id3	a2	2.35	different
280.15	5	face	id1	a1	2.17	different
285.14	5	face	id1	a4	2.53	same
290.14	5	face	id3	a3	2.2	different
295.16	5	face	id4	a5	2.15	different
300.16	5	face	id1	a2	2.26	same
305.16	5	face	id2	a2	2.22	different
310.15	5	face	id3	a4	2.21	different
315.15	5	face	id3	a1	2.4	same
320.15	5	face	id4	a1	3.56	different
325.15	5	face	id2	a1	2.24	different
330.17	5	face	id2	a4	2.26	same
