onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id2	a2	n/a	n/a
20.07	5	face	id2	a2	2.28	same
25.04	5	fixation	n/a	n/a	n/a	n/a
30.08	5	face	id2	a4	2.38	same
35.08	5	face	id1	a2	2.13	different
40.08	5	face	id1	a1	2.13	same
45.08	5	face	id3	a4	1.95	different
50.1	5	face	id2	a1	2.15	different
55.09	5	face	id1	a4	2.17	different
60.09	5	face	id2	a5	2.2	different
65.09	5	face	id4	a4	2.41	different
70.09	5	face	id3	a3	2.32	different
75.09	5	face	id3	a5	2.24	same
80.1	5	face	id4	a5	2.05	different
85.1	5	face	id1	a3	2.24	different
90.1	5	face	id3	a1	2.49	different
95.1	5	face	id2	a3	2.39	different
100.1	5	face	id1	a5	2.29	different
105.1	5	face	id4	a3	2.89	different
110.1	5	face	id3	a2	2.19	different
115.11	5	face	id4	a1	2.42	different
120.11	5	face	id4	a2	2.19	same
125.11	5	face	id4	a2	2.21	same
130.11	5	face	id2	a3	2.37	different
135.11	5	face	id2	a5	2.1	same
140.1	5	face	id1	a5	3.06	different
145.08	5	fixation	n/a	n/a	n/a	n/a
150.12	5	face	id4	a4	2.38	different
155.12	5	face	id4	a3	2.35	same
160.12	5	face	id2	a4	2.03	different
165.11	5	face	id3	a3	2.49	different
170.11	5	face	id3	a2	3.2	same
175.13	5	face	id1	a2	2.09	different
180.13	5	face	id3	a5	1.98	different
185.13	5	face	id4	a1	2.68	different
190.12	5	face	id1	a1	1.99	different
195.12	5	face	id1	a3	2.63	same
200.12	5	face	id2	a2	2.69	different
205.14	5	face	id3	a4	2.65	different
210.14	5	face	id3	a1	2.51	same
215.13	5	face	id1	a4	2.19	different
220.13	5	face	id2	a1	3.33	different
225.13	5	face	id4	a5	2.68	different
230.13	5	face	id4	a5	2.19	same
235.1	5	fixation	n/a	n/a	n/a	n/a
240.14	5	face	id2	a5	2.49	different
245.14	5	face	id2	a3	2.61	same
250.14	5	face	id2	a4	2.33	same
255.14	5	face	id4	a4	2.18	different
260.14	5	face	id1	a5	2.18	different
265.14	5	face	id1	a2	2.13	same
270.15	5	face	id3	a3	2.2	different
275.15	5	face	id4	a3	2.39	different
280.15	5	face	id1	a1	2.29	different
285.15	5	face	id3	a5	2.41	different
290.15	5	face	id3	a2	3.29	same
295.15	5	face	id3	a4	2.22	same
300.16	5	face	id1	a3	2.37	different
305.16	5	face	id4	a1	2.23	different
310.16	5	face	id2	a1	2.44	different
315.16	5	face	id4	a2	3.2	different
320.16	5	face	id2	a2	2.2	different
325.15	5	face	id1	a4	2.83	different
330.17	5	face	id3	a1	2.38	different
