onset	duration	stim_type	identity	orientation	reaction_time	response
15.06	5	face	id1	a2	n/a	n/a
20.08	5	face	id1	a2	2.62	same
25.04	5	fixation	n/a	n/a	n/a	n/a
30.07	5	face	id3	a4	2.03	different
35.07	5	face	id2	a4	3.59	different
40.09	5	face	id4	a2	2.98	different
45.09	5	face	id3	a1	2.05	different
50.09	5	face	id2	a1	2.15	different
55.08	5	face	id3	a2	1.89	different
60.08	5	face	id2	a3	1.94	different
65.08	5	face	id2	a2	2.19	same
70.08	5	face	id3	a3	2.39	different
75.1	5	face	id4	a3	3.75	different
80.09	5	face	id1	a3	2.26	different
85.09	5	face	id1	a4	2.11	same
90.09	5	face	id4	a5	2.09	different
95.09	5	face	id1	a1	2.33	different
100.09	5	face	id3	a5	3.13	different
105.1	5	face	id2	a5	2.31	different
110.1	5	face	id1	a5	3.3	different
115.1	5	face	id4	a1	2.51	different
120.1	5	face	id4	a4	2.13	same
125.1	5	face	id4	a4	2.13	same
130.07	5	fixation	n/a	n/a	n/a	n/a
135.1	5	face	id4	a3	2.07	same
140.11	5	face	id2	a4	2.31	different
145.11	5	face	id1	a4	3.24	different
150.11	5	face	id3	a1	2.18	different
155.11	5	face	id2	a2	1.88	different
160.11	5	face	id1	a5	3.52	different
165.12	5	face	id2	a3	2.73	different
170.12	5	face	id1	a1	2.1	different
175.12	5	face	id3	a3	2.11	different
180.12	5	face	id4	a5	2.0	different
185.12	5	face	id1	a3	2.52	different
190.11	5	face	id3	a2	2.67	different
195.11	5	face	id3	a4	4.0	same
200.13	5	face	id2	a5	2.08	different
205.13	5	face	id3	a5	2.0	different
210.13	5	face	id4	a1	2.09	different
215.12	5	face	id4	a2	2.02	same
220.12	5	face	id1	a2	2.97	different
225.12	5	face	id2	a1	2.03	different
230.14	5	face	id2	a1	2.06	same
235.1	5	fixation	n/a	n/a	n/a	n/a
240.13	5	face	id4	a5	2.22	different
245.13	5	face	id2	a4	2.0	different
250.13	5	face	id3	a2	2.25	different
255.13	5	face	id3	a1	3.48	same
260.14	5	face	id1	a1	2.2	different
265.14	5	face	id4	a2	2.18	different
270.14	5	face	id2	a3	2.14	different
275.14	5	face	id2	a5	2.09	same
280.14	5	face	id3	a3	2.18	different
285.14	5	face	id4	a4	2.13	different
290.14	5	face	id1	a3	2.04	different
295.15	5	face	id1	a5	2.08	same
300.15	5	face	id4	a3	2.16	different
305.15	5	face	id4	a1	2.98	same
310.15	5	face	id1	a4	2.16	different
315.15	5	face	id1	a2	2.01	same
320.15	5	face	id3	a4	2.25	different
325.16	5	face	id3	a5	2.03	same
330.16	5	face	id2	a2	2.36	different
