onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id4	a1	n/a	n/a
20.07	5	face	id4	a1	2.22	same
25.04	5	fixation	n/a	n/a	n/a	n/a
30.07	5	face	id2	a1	2.22	different
35.07	5	face	id2	a5	2.01	same
40.08	5	face	id4	a4	2.05	different
45.08	5	face	id1	a4	2.17	different
50.08	5	face	id3	a4	2.06	different
55.08	5	face	id1	a5	2.14	different
60.08	5	face	id3	a5	2.12	different
65.08	5	face	id4	a2	1.99	different
70.08	5	face	id2	a2	2.23	different
75.09	5	face	id3	a3	2.17	different
80.09	5	face	id4	a3	2.58	different
85.09	5	face	id2	a4	2.1	different
90.09	5	face	id1	a3	2.12	different
95.09	5	face	id3	a2	2.08	different
100.08	5	face	id1	a1	2.03	different
105.1	5	face	id2	a3	2.13	different
110.1	5	face	id1	a2	2.13	different
115.1	5	face	id4	a5	2.22	different
120.1	5	face	id3	a1	2.22	different
125.09	5	face	id3	a1	2.05	same
130.09	5	face	id3	a2	2.2	same
135.11	5	face	id3	a5	2.49	same
140.11	5	face	id1	a1	2.09	different
145.07	5	fixation	n/a	n/a	n/a	n/a
150.1	5	face	id4	a2	2.27	different
155.1	5	face	id2	a3	2.07	different
160.12	5	face	id2	a1	2.19	same
165.12	5	face	id2	a2	2.13	same
170.11	5	face	id1	a2	1.99	different
175.11	5	face	id2	a5	2.17	different
180.11	5	face	id3	a3	2.09	different
185.11	5	face	id4	a5	2.19	different
190.11	5	face	id4	a4	3.39	different
195.12	5	face	id2	a4	2.64	different
200.12	5	face	id4	a1	2.2	different
205.12	5	face	id1	a4	2.2	different
210.12	5	face	id1	a3	2.55	same
215.12	5	face	id1	a5	2.23	same
220.12	5	face	id3	a4	2.78	different
225.13	5	face	id4	a3	2.35	different
230.13	5	face	id4	a3	2.16	same
235.09	5	fixation	n/a	n/a	n/a	n/a
240.13	5	face	id3	a5	2.19	different
245.13	5	face	id3	a2	2.12	same
250.13	5	face	id2	a1	2.15	different
255.12	5	face	id4	a2	1.85	different
260.14	5	face	id1	a1	2.12	different
265.14	5	face	id2	a5	2.27	different
270.14	5	face	id2	a2	2.39	same
275.14	5	face	id2	a3	2.12	same
280.13	5	face	id4	a4	3.78	different
285.13	5	face	id3	a3	2.28	different
290.15	5	face	id1	a2	2.23	different
295.15	5	face	id1	a4	2.39	same
300.15	5	face	id2	a4	2.38	different
305.14	5	face	id4	a5	2.17	different
310.14	5	face	id3	a4	2.26	different
315.14	5	face	id3	a1	2.27	same
320.14	5	face	id4	a1	3.49	different
325.16	5	face	id1	a5	2.44	different
330.15	5	face	id1	a3	2.25	same
