onset	duration	condition_code	target_code	trial_type
20.0643345	17.570071	1	2	countdown
37.6344055	0.9639206	1	2	go_cue
55.7823393	17.5538588	4	4	countdown
73.3361981	0.9629671	4	4	go_cue
91.9826782	17.5373104	2	4	countdown
109.5199886	0.9632349	2	4	go_cue
126.667315	17.536983	3	1	countdown
144.204298	0.9630826	3	1	go_cue
161.852136	17.5524382	3	2	countdown
179.4045742	0.9635954	3	2	go_cue
197.0529612	17.5528928	4	2	countdown
214.605854	0.9630735	4	2	go_cue
234.2692146	17.5532995	1	3	countdown
251.8225141	0.9638885	1	3	go_cue
269.9541632	17.5529379	2	1	countdown
287.5071011	0.9801009	2	1	go_cue
306.1878181	17.5530879	4	2	countdown
323.740906	0.963812	4	2	go_cue
343.3896544	17.5529071	3	3	countdown
360.9425615	0.9631141	3	3	go_cue
378.6057709	17.5698675	1	4	countdown
396.1756384	0.9640076	1	4	go_cue
413.3073402	17.5523051	2	4	countdown
430.8596453	0.9640986	2	4	go_cue
