onset	duration	condition_code	target_code	trial_type
20.0649609	17.5529936	4	3	countdown
37.6179545	0.9803505	4	3	go_cue
56.2832608	17.5525027	3	1	countdown
73.8357635	0.9801277	3	1	go_cue
92.5328749	17.536769	2	3	countdown
110.0696439	0.9638067	2	3	go_cue
128.7178608	17.5527056	1	3	countdown
146.2705664	0.9635114	1	3	go_cue
164.4019351	17.5353455	1	3	countdown
181.9372806	0.9810148	1	3	go_cue
201.0859339	17.5366525	2	2	countdown
218.6225864	0.9631101	2	2	go_cue
236.7864363	17.5706586	3	3	countdown
254.3570949	0.9795484	3	3	go_cue
273.0215041	17.5365024	4	2	countdown
290.5580065	0.9795277	4	2	go_cue
309.2376125	17.5532003	1	2	countdown
326.7908128	0.9641692	1	2	go_cue
345.9389586	17.5532731	3	2	countdown
363.4922317	0.9636885	3	2	go_cue
383.1406195	17.5522094	4	3	countdown
400.6928289	0.9638997	4	3	go_cue
418.3734935	17.536531	2	2	countdown
435.9100245	0.963941	2	2	go_cue
