onset	duration	condition_code	target_code	trial_type
20.0651181	17.5365629	3	2	countdown
37.601681	0.9635743	3	2	go_cue
57.2500372	17.5354738	4	3	countdown
74.785511	0.9804665	4	3	go_cue
94.4663375	17.5538212	1	2	countdown
112.0201587	0.9633853	1	2	go_cue
129.6678199	17.5356447	2	3	countdown
147.2034646	0.9640846	2	3	go_cue
164.8519195	17.5358925	1	2	countdown
182.387812	0.9806678	1	2	go_cue
200.0527931	17.5362658	2	2	countdown
217.5890589	0.9802539	2	2	go_cue
236.7700277	17.5363264	4	1	countdown
254.3063541	0.9805018	4	1	go_cue
271.9718636	17.5528155	3	3	countdown
289.5246791	0.9629745	3	3	go_cue
307.1724019	17.552526	4	4	countdown
324.7249279	0.963315	4	4	go_cue
342.3883969	17.553741	2	1	countdown
359.9421379	0.9636158	2	1	go_cue
379.0898033	17.5197147	3	3	countdown
396.609518	0.9803763	3	3	go_cue
414.3068532	17.5527744	1	2	countdown
431.8596276	0.9644396	1	2	go_cue
