onset	duration	condition_code	target_code	trial_type
20.0489981	17.5355331	4	2	countdown
37.5845312	0.9804733	4	2	go_cue
56.2653602	17.5534945	1	2	countdown
73.8188547	0.963748	1	2	go_cue
92.950311	17.5528884	2	2	countdown
110.5031994	0.9802447	2	2	go_cue
128.667557	17.5372	3	4	countdown
146.204757	0.9794903	3	4	go_cue
164.8843637	17.5533794	1	4	countdown
182.4377431	0.9639727	1	4	go_cue
199.5855486	17.5540709	4	1	countdown
217.1396195	0.9628782	4	1	go_cue
235.8026325	17.5529144	2	3	countdown
253.3555469	0.9642729	2	3	go_cue
273.0371199	17.5700794	3	2	countdown
290.6071993	0.9636089	3	2	go_cue
309.2390072	17.5691971	3	3	countdown
326.8082043	0.9634448	3	3	go_cue
346.4397505	17.5692091	4	1	countdown
364.0089596	0.9633854	4	1	go_cue
381.6726248	17.5704672	2	1	countdown
399.243092	0.9800111	2	1	go_cue
416.3906913	17.5354078	1	3	countdown
433.9260991	0.9644673	1	3	go_cue
