onset	duration	condition_code	target_code	trial_type
20.0480682	17.55276	2	2	countdown
37.6008282	0.9803195	2	2	go_cue
55.281723	17.5203116	3	1	countdown
72.8020346	0.9809596	3	1	go_cue
92.4986941	17.5368662	1	1	countdown
110.0355603	0.9639955	1	1	go_cue
127.1832612	17.5532347	4	4	countdown
144.7364959	0.9637324	4	4	go_cue
162.3850547	17.518855	3	2	countdown
179.9039097	0.9804286	3	2	go_cue
199.6012538	17.536091	2	3	countdown
217.1373448	0.9645557	2	3	go_cue
236.7861781	17.55277	1	2	countdown
254.3389481	0.9636721	1	2	go_cue
273.4865433	17.5366927	4	2	countdown
291.023236	0.9801336	4	2	go_cue
310.688303	17.5524693	3	3	countdown
328.2407723	0.980189	3	3	go_cue
346.9212349	17.5532658	2	2	countdown
364.4745007	0.9640024	2	2	go_cue
384.1392787	17.570354	4	4	countdown
401.7096327	0.9629607	4	4	go_cue
420.3726395	17.5698798	1	2	countdown
437.9425193	0.9808592	1	2	go_cue
