onset	duration	condition_code	target_code	trial_type
20.0644208	17.5695049	4	2	countdown
37.6339257	0.9807716	4	2	go_cue
56.3146774	17.5533258	1	4	countdown
73.8680032	0.9641554	1	4	go_cue
90.9997895	17.5522287	2	2	countdown
108.5520182	0.980779	2	2	go_cue
126.716847	17.5369059	3	2	countdown
144.2537529	0.9798757	3	2	go_cue
163.9184255	17.5358961	3	4	countdown
181.4543216	0.9801682	3	4	go_cue
201.1191812	17.552674	4	2	countdown
218.6718552	0.9799588	4	2	go_cue
238.3687455	17.5366507	2	4	countdown
255.9053962	0.9639734	2	4	go_cue
273.0370457	17.5524928	1	4	countdown
290.5895385	0.9640322	1	4	go_cue
309.2540362	17.5533712	3	3	countdown
326.8074074	0.9636539	3	3	go_cue
344.4709064	17.5537209	1	2	countdown
362.0246273	0.9638255	1	2	go_cue
381.1562199	17.5527281	2	1	countdown
398.708948	0.963565	2	1	go_cue
417.8732837	17.5528659	4	4	countdown
435.4261496	0.9639463	4	4	go_cue
