onset	duration	parametric_modulation	regressor	description
5.3791	1	1	1	HV Go
51.38	1	1	1	HV Go
53.38	1	1	1	HV Go
68.38	1	1	1	HV Go
92.38	1	1	1	HV Go
122.38	1	1	1	HV Go
129.16	1	1	1	HV Go
166.16	1	1	1	HV Go
180.17	1	1	1	HV Go
183.17	1	1	1	HV Go
193.17	1	1	1	HV Go
212.17	1	1	1	HV Go
5.3791	1	-0.25	2	HV Go - by choice
51.38	1	-0.083333	2	HV Go - by choice
53.38	1	0	2	HV Go - by choice
68.38	1	0.083333	2	HV Go - by choice
92.38	1	0.16667	2	HV Go - by choice
122.38	1	0.083333	2	HV Go - by choice
129.16	1	0	2	HV Go - by choice
166.16	1	0.083333	2	HV Go - by choice
180.17	1	-0.083333	2	HV Go - by choice
183.17	1	-0.25	2	HV Go - by choice
193.17	1	0.16667	2	HV Go - by choice
212.17	1	0.083333	2	HV Go - by choice
5.3791	1	-0.0016667	3	HV Go - by value
51.38	1	-0.011667	3	HV Go - by value
53.38	1	0.058333	3	HV Go - by value
68.38	1	-0.0016667	3	HV Go - by value
92.38	1	-0.061667	3	HV Go - by value
122.38	1	0.018333	3	HV Go - by value
129.16	1	0.058333	3	HV Go - by value
166.16	1	0.018333	3	HV Go - by value
180.17	1	-0.011667	3	HV Go - by value
183.17	1	-0.0016667	3	HV Go - by value
193.17	1	-0.061667	3	HV Go - by value
212.17	1	-0.0016667	3	HV Go - by value
5.3791	1	-0.11606	4	HV Go - by GSD
51.38	1	-0.070054	4	HV Go - by GSD
53.38	1	-0.068053	4	HV Go - by GSD
68.38	1	-0.053064	4	HV Go - by GSD
92.38	1	-0.029063	4	HV Go - by GSD
122.38	1	0.00094304	4	HV Go - by GSD
129.16	1	0.007728	4	HV Go - by GSD
166.16	1	0.044719	4	HV Go - by GSD
180.17	1	0.058721	4	HV Go - by GSD
183.17	1	0.061723	4	HV Go - by GSD
193.17	1	0.071735	4	HV Go - by GSD
212.17	1	0.090727	4	HV Go - by GSD
9.3791	1	1	5	LV Go
27.379	1	1	5	LV Go
82.382	1	1	5	LV Go
84.38	1	1	5	LV Go
94.38	1	1	5	LV Go
112.38	1	1	5	LV Go
143.16	1	1	5	LV Go
189.17	1	1	5	LV Go
191.17	1	1	5	LV Go
197.17	1	1	5	LV Go
226.17	1	1	5	LV Go
240.17	1	1	5	LV Go
9.3791	1	-0.13889	6	LV Go - by choice
27.379	1	0.027778	6	LV Go - by choice
82.382	1	0.027778	6	LV Go - by choice
84.38	1	0.027778	6	LV Go - by choice
94.38	1	0.027778	6	LV Go - by choice
112.38	1	0.027778	6	LV Go - by choice
143.16	1	0.027778	6	LV Go - by choice
189.17	1	0.027778	6	LV Go - by choice
191.17	1	-0.13889	6	LV Go - by choice
197.17	1	0.027778	6	LV Go - by choice
226.17	1	0.027778	6	LV Go - by choice
240.17	1	0.027778	6	LV Go - by choice
9.3791	1	-0.0083333	7	LV Go - by value
27.379	1	0.031667	7	LV Go - by value
82.382	1	-0.018333	7	LV Go - by value
84.38	1	0.031667	7	LV Go - by value
94.38	1	0.011667	7	LV Go - by value
112.38	1	-0.048333	7	LV Go - by value
143.16	1	-0.048333	7	LV Go - by value
189.17	1	0.031667	7	LV Go - by value
191.17	1	-0.0083333	7	LV Go - by value
197.17	1	0.011667	7	LV Go - by value
226.17	1	0.031667	7	LV Go - by value
240.17	1	-0.018333	7	LV Go - by value
9.3791	1	-0.041668	8	LV Go - by GSD
27.379	1	-0.041668	8	LV Go - by GSD
82.382	1	-0.058338	8	LV Go - by GSD
84.38	1	-0.058338	8	LV Go - by GSD
94.38	1	-0.041668	8	LV Go - by GSD
112.38	1	-0.041668	8	LV Go - by GSD
143.16	1	-0.0083283	8	LV Go - by GSD
189.17	1	0.041672	8	LV Go - by GSD
191.17	1	0.041672	8	LV Go - by GSD
197.17	1	0.058332	8	LV Go - by GSD
226.17	1	0.075002	8	LV Go - by GSD
240.17	1	0.075002	8	LV Go - by GSD
34.38	1	1	9	HV NoGo
49.38	1	1	9	HV NoGo
55.38	1	1	9	HV NoGo
57.38	1	1	9	HV NoGo
90.381	1	1	9	HV NoGo
110.38	1	1	9	HV NoGo
138.16	1	1	9	HV NoGo
164.16	1	1	9	HV NoGo
172.16	1	1	9	HV NoGo
177.17	1	1	9	HV NoGo
205.17	1	1	9	HV NoGo
218.17	1	1	9	HV NoGo
34.38	1	-0.16667	10	HV NoGo - by choice
49.38	1	0.41667	10	HV NoGo - by choice
55.38	1	-0.16667	10	HV NoGo - by choice
57.38	1	-0.16667	10	HV NoGo - by choice
90.381	1	0.16667	10	HV NoGo - by choice
110.38	1	-0.083333	10	HV NoGo - by choice
138.16	1	-0.16667	10	HV NoGo - by choice
164.16	1	0.41667	10	HV NoGo - by choice
172.16	1	-0.16667	10	HV NoGo - by choice
177.17	1	-0.083333	10	HV NoGo - by choice
205.17	1	0.16667	10	HV NoGo - by choice
218.17	1	-0.16667	10	HV NoGo - by choice
34.38	1	0.0016667	11	HV NoGo - by value
49.38	1	0.021667	11	HV NoGo - by value
55.38	1	-0.038333	11	HV NoGo - by value
57.38	1	-0.0083333	11	HV NoGo - by value
90.381	1	-0.018333	11	HV NoGo - by value
110.38	1	0.041667	11	HV NoGo - by value
