onset	duration	parametric_modulation	regressor	description
2.1291	2	1	1	HV Go
24.025	2	1	1	HV Go
63.026	2	1	1	HV Go
122.03	2	1	1	HV Go
139.03	2	1	1	HV Go
161.03	2	1	1	HV Go
11.031	2	1	2	HV NoGo
35.025	2	1	2	HV NoGo
47.026	2	1	2	HV NoGo
66.026	2	1	2	HV NoGo
69.026	2	1	2	HV NoGo
145.03	2	1	2	HV NoGo
20.025	2	1	3	LV Go
27.025	2	1	3	LV Go
105.03	2	1	3	LV Go
108.03	2	1	3	LV Go
125.03	2	1	3	LV Go
130.03	2	1	3	LV Go
31.025	2	1	4	LV NoGo
72.026	2	1	4	LV NoGo
82.026	2	1	4	LV NoGo
95.029	2	1	4	LV NoGo
102.03	2	1	4	LV NoGo
148.03	2	1	4	LV NoGo
15.031	2	1	5	HV Neutral
44.026	2	1	5	HV Neutral
79.026	2	1	5	HV Neutral
116.03	2	1	5	HV Neutral
135.03	2	1	5	HV Neutral
152.03	2	1	5	HV Neutral
6.0298	2	1	6	LV Neutral
52.026	2	1	6	LV Neutral
85.027	2	1	6	LV Neutral
90.03	2	1	6	LV Neutral
111.03	2	1	6	LV Neutral
157.03	2	1	6	LV Neutral
60.026	2	1	7	HV Sanity
75.026	2	1	7	HV Sanity
41.026	2	1	8	LV Sanity
119.03	2	1	8	LV Sanity
2.1291	2	-0.25	9	HV Go - by choice
24.025	2	0.083333	9	HV Go - by choice
63.026	2	0	9	HV Go - by choice
122.03	2	0.083333	9	HV Go - by choice
139.03	2	-0.083333	9	HV Go - by choice
161.03	2	0.16667	9	HV Go - by choice
11.031	2	-0.083333	10	HV NoGo - by choice
35.025	2	0.41667	10	HV NoGo - by choice
47.026	2	0.16667	10	HV NoGo - by choice
66.026	2	-0.16667	10	HV NoGo - by choice
69.026	2	-0.16667	10	HV NoGo - by choice
145.03	2	-0.16667	10	HV NoGo - by choice
20.025	2	0.027778	11	LV Go - by choice
27.025	2	-0.13889	11	LV Go - by choice
105.03	2	0.027778	11	LV Go - by choice
108.03	2	0.027778	11	LV Go - by choice
125.03	2	0.027778	11	LV Go - by choice
130.03	2	0.027778	11	LV Go - by choice
31.025	2	-0.027778	12	LV NoGo - by choice
72.026	2	-0.027778	12	LV NoGo - by choice
82.026	2	-0.027778	12	LV NoGo - by choice
95.029	2	0.055556	12	LV NoGo - by choice
102.03	2	0.055556	12	LV NoGo - by choice
148.03	2	-0.027778	12	LV NoGo - by choice
2.1291	2	0.24005	13	All - by value
6.0298	2	-0.12928	13	All - by value
11.031	2	0.27788	13	All - by value
15.031	2	0.1342	13	All - by value
20.025	2	-0.28675	13	All - by value
24.025	2	0.254	13	All - by value
27.025	2	-0.24249	13	All - by value
31.025	2	-0.24293	13	All - by value
35.025	2	0.26262	13	All - by value
41.026	2	-0.32991	13	All - by value
44.026	2	0.17102	13	All - by value
47.026	2	0.218	13	All - by value
52.026	2	-0.098641	13	All - by value
60.026	2	0.32947	13	All - by value
63.026	2	0.29504	13	All - by value
66.026	2	0.24284	13	All - by value
69.026	2	0.20093	13	All - by value
72.026	2	-0.19711	13	All - by value
75.026	2	0.32735	13	All - by value
79.026	2	0.32949	13	All - by value
82.026	2	-0.22048	13	All - by value
85.027	2	-0.1967	13	All - by value
90.03	2	-0.18664	13	All - by value
95.029	2	-0.22652	13	All - by value
102.03	2	-0.31016	13	All - by value
105.03	2	-0.20408	13	All - by value
108.03	2	-0.22454	13	All - by value
111.03	2	-0.38762	13	All - by value
116.03	2	0.35281	13	All - by value
119.03	2	-0.32471	13	All - by value
122.03	2	0.24164	13	All - by value
125.03	2	-0.25613	13	All - by value
130.03	2	-0.2049	13	All - by value
135.03	2	0.16011	13	All - by value
139.03	2	0.22677	13	All - by value
145.03	2	0.23185	13	All - by value
148.03	2	-0.225	13	All - by value
152.03	2	0.15074	13	All - by value
157.03	2	-0.33323	13	All - by value
161.03	2	0.18101	13	All - by value
