onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id3	a1	n/a	n/a
20.07	5	face	id3	a1	2.1	same
25.04	5	fixation	n/a	n/a	n/a	n/a
30.07	5	face	id3	a3	2.23	same
35.07	5	face	id2	a3	1.98	different
40.08	5	face	id1	a2	2.29	different
45.08	5	face	id2	a5	2.69	different
50.08	5	face	id4	a3	3.23	different
55.08	5	face	id3	a4	2.13	different
60.08	5	face	id4	a4	2.36	different
65.08	5	face	id3	a2	2.98	different
70.09	5	face	id2	a4	2.16	different
75.09	5	face	id3	a5	2.8	different
80.09	5	face	id1	a5	2.4	different
85.09	5	face	id1	a1	2.42	different
90.09	5	face	id4	a5	3.05	different
95.09	5	face	id4	a1	2.35	same
100.08	5	face	id1	a4	4.14	different
105.1	5	face	id4	a2	2.31	different
110.1	5	face	id2	a1	2.2	different
115.1	5	face	id2	a2	2.2	same
120.1	5	face	id1	a3	2.78	different
125.09	5	face	id1	a3	3.24	same
130.07	5	fixation	n/a	n/a	n/a	n/a
135.09	5	face	id3	a5	1.99	different
140.11	5	face	id2	a3	2.15	different
145.11	5	face	id1	a1	2.12	different
150.1	5	face	id2	a5	2.18	different
155.1	5	face	id3	a2	2.32	different
160.1	5	face	id2	a1	2.11	different
165.1	5	face	id4	a4	3.78	different
170.12	5	face	id4	a1	2.25	same
175.11	5	face	id2	a4	2.56	different
180.11	5	face	id4	a5	2.56	different
185.11	5	face	id1	a5	2.05	different
190.11	5	face	id3	a4	2.44	different
195.11	5	face	id3	a3	3.12	different
200.12	5	face	id4	a2	2.35	different
205.12	5	face	id1	a4	2.12	different
210.12	5	face	id2	a2	3.57	different
215.12	5	face	id1	a2	2.91	different
220.12	5	face	id3	a1	2.31	different
225.12	5	face	id4	a3	2.45	different
230.12	5	face	id4	a3	2.47	same
235.09	5	fixation	n/a	n/a	n/a	n/a
240.13	5	face	id4	a5	2.26	same
245.13	5	face	id2	a3	2.32	different
250.13	5	face	id3	a4	3.02	different
255.13	5	face	id2	a5	2.98	different
260.14	5	face	id4	a1	2.37	different
265.14	5	face	id1	a2	2.22	different
270.14	5	face	id4	a4	2.22	different
275.14	5	face	id4	a2	2.21	different
280.14	5	face	id2	a4	2.5	different
285.15	5	face	id1	a3	2.3	different
290.15	5	face	id1	a5	2.19	same
295.15	5	face	id2	a1	2.31	different
300.15	5	face	id3	a5	1.83	different
305.14	5	face	id2	a2	2.43	different
310.14	5	face	id1	a1	2.24	different
315.14	5	face	id3	a1	3.15	different
320.16	5	face	id3	a3	2.16	same
325.16	5	face	id1	a4	3.03	different
330.15	5	face	id3	a2	2.68	different
