onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id2	a2	n/a	n/a
20.08	5	face	id2	a2	2.17	same
25.04	5	fixation	n/a	n/a	n/a	n/a
30.08	5	face	id4	a4	2.15	different
35.08	5	face	id2	a4	2.15	different
40.08	5	face	id1	a5	2.15	different
45.08	5	face	id3	a1	2.31	different
50.08	5	face	id2	a5	2.13	different
55.09	5	face	id4	a2	2.21	different
60.09	5	face	id4	a5	2.44	same
65.09	5	face	id2	a1	2.42	different
70.09	5	face	id3	a5	2.31	same
75.09	5	face	id3	a4	2.15	same
80.08	5	face	id4	a1	3.86	different
85.1	5	face	id3	a3	3.24	different
90.1	5	face	id1	a2	2.76	different
95.1	5	face	id1	a3	3.16	same
100.1	5	face	id4	a3	2.41	different
105.09	5	face	id1	a4	2.42	different
110.09	5	face	id2	a3	4.25	different
115.11	5	face	id3	a2	2.56	different
120.11	5	face	id1	a1	2.2	different
125.11	5	face	id1	a1	2.25	same
130.07	5	fixation	n/a	n/a	n/a	n/a
135.1	5	face	id1	a2	2.18	same
140.1	5	face	id2	a2	2.57	different
145.1	5	face	id1	a4	2.39	different
150.12	5	face	id3	a4	2.29	different
155.11	5	face	id1	a3	2.28	different
160.11	5	face	id3	a3	2.4	different
165.11	5	face	id2	a4	2.95	different
170.11	5	face	id4	a1	2.9	different
175.11	5	face	id1	a5	2.27	different
180.12	5	face	id4	a4	2.17	different
185.12	5	face	id2	a1	2.52	different
190.12	5	face	id3	a1	3.43	different
195.12	5	face	id4	a2	2.17	different
200.12	5	face	id3	a2	2.22	different
205.12	5	face	id3	a5	2.23	same
210.12	5	face	id4	a3	2.13	different
215.13	5	face	id2	a5	2.33	different
220.13	5	face	id4	a5	2.28	different
225.13	5	face	id2	a3	2.22	different
230.14	5	face	id2	a3	2.24	same
235.1	5	fixation	n/a	n/a	n/a	n/a
240.14	5	face	id2	a4	2.17	same
245.14	5	face	id2	a1	2.27	same
250.14	5	face	id4	a2	2.18	different
255.14	5	face	id4	a4	2.28	same
260.15	5	face	id2	a2	2.11	different
265.15	5	face	id3	a5	2.82	different
270.15	5	face	id4	a5	2.44	different
275.15	5	face	id2	a5	2.34	different
280.15	5	face	id1	a4	3.77	different
285.14	5	face	id1	a3	2.2	same
290.16	5	face	id1	a1	2.23	same
295.16	5	face	id3	a1	2.36	different
300.16	5	face	id4	a1	2.36	different
305.16	5	face	id3	a4	2.06	different
310.15	5	face	id3	a2	2.22	same
315.15	5	face	id4	a3	2.75	different
320.15	5	face	id1	a5	2.91	different
325.17	5	face	id1	a2	2.59	same
330.17	5	face	id3	a3	2.15	different
