onset	duration	stim_type	identity	orientation	reaction_time	response
15.07	5	face	id2	a2	n/a	n/a
20.07	5	face	id2	a2	2.12	same
25.04	5	fixation	n/a	n/a	n/a	n/a
30.07	5	face	id1	a1	2.72	different
35.07	5	face	id2	a5	2.36	different
40.08	5	face	id3	a4	2.38	different
45.08	5	face	id4	a3	2.44	different
50.08	5	face	id4	a5	2.35	same
55.08	5	face	id2	a1	2.92	different
60.08	5	face	id3	a5	2.29	different
65.08	5	face	id1	a3	2.28	different
70.08	5	face	id4	a1	2.38	different
75.09	5	face	id1	a2	2.33	different
80.09	5	face	id4	a2	2.66	different
85.09	5	face	id1	a4	2.53	different
90.09	5	face	id3	a1	2.71	different
95.09	5	face	id1	a5	2.45	different
100.08	5	face	id3	a3	2.16	different
105.08	5	face	id2	a3	2.34	different
110.1	5	face	id2	a4	3.39	same
115.1	5	face	id4	a4	2.44	different
120.1	5	face	id3	a2	2.52	different
125.09	5	face	id3	a2	2.49	same
130.09	5	face	id1	a5	2.57	different
135.09	5	face	id3	a5	2.44	different
140.11	5	face	id3	a3	2.59	same
145.07	5	fixation	n/a	n/a	n/a	n/a
150.1	5	face	id1	a3	3.88	different
155.1	5	face	id2	a3	2.74	different
160.1	5	face	id1	a1	2.52	different
165.1	5	face	id4	a1	2.74	different
170.1	5	face	id2	a4	3.36	different
175.11	5	face	id2	a5	2.35	same
180.11	5	face	id1	a2	3.41	different
185.11	5	face	id4	a4	3.05	different
190.11	5	face	id3	a4	2.37	different
195.11	5	face	id1	a4	2.4	different
200.11	5	face	id2	a2	2.56	different
205.11	5	face	id4	a3	2.93	different
210.12	5	face	id3	a1	2.42	different
215.12	5	face	id2	a1	2.96	different
220.12	5	face	id4	a5	2.32	different
225.12	5	face	id4	a2	2.67	same
230.12	5	face	id4	a2	2.19	same
235.09	5	fixation	n/a	n/a	n/a	n/a
240.11	5	face	id3	a5	2.25	different
245.13	5	face	id1	a5	2.41	different
250.13	5	face	id1	a1	2.35	same
255.13	5	face	id1	a3	2.38	same
260.12	5	face	id3	a3	2.29	different
265.12	5	face	id2	a5	2.65	different
270.14	5	face	id4	a1	2.36	different
275.14	5	face	id2	a3	2.23	different
280.14	5	face	id3	a4	2.51	different
285.13	5	face	id1	a2	2.33	different
290.13	5	face	id2	a4	2.48	different
295.13	5	face	id4	a3	2.35	different
300.13	5	face	id1	a4	2.35	different
305.15	5	face	id4	a4	2.39	different
310.15	5	face	id4	a5	2.32	same
315.14	5	face	id3	a2	2.22	different
320.14	5	face	id2	a2	2.26	different
325.14	5	face	id2	a1	2.34	same
330.14	5	face	id3	a1	2.77	different
