onset	duration	trial_type	correct
4	6.0	MS3	1
16	6.0	MS4	1
26	6.0	CS3	1
38	6.0	CS3	1
48	6.0	CS1	1
58	6.0	MS3	1
68	6.0	CS2	1
78	6.0	CS3	1
88	6.0	MS2	1
102	6.0	CS4	1
112	6.0	MS4	1
122	6.0	MS3	1
132	6.0	MS4	1
144	6.0	MS2	1
154	6.0	CS4	1
164	6.0	CS1	1
174	6.0	CS4	1
184	6.0	MS2	1
196	6.0	CS2	1
208	6.0	CS3	1
218	6.0	MS1	1
228	6.0	CS2	1
238	6.0	CS4	1
248	6.0	MS1	1
262	6.0	CS4	1
276	6.0	MS4	1
286	6.0	MS1	1
300	6.0	MS2	1
314	6.0	MS1	1
326	6.0	MS1	1
336	6.0	CS3	1
348	6.0	MS3	1
358	6.0	MS3	1
368	6.0	CS1	0
378	6.0	MS4	1
388	6.0	CS2	1
400	6.0	CS1	1
412	6.0	MS2	1
422	6.0	CS1	1
438	6.0	CS2	1
