onset	duration	trial_type	correct
4	6.0	MS4	1
16	6.0	MS4	1
26	6.0	MS2	1
36	6.0	MS1	1
46	6.0	CS3	1
60	6.0	CS4	1
72	6.0	MS4	1
84	6.0	CS4	1
94	6.0	MS2	1
104	6.0	CS1	1
114	6.0	CS2	1
124	6.0	MS2	1
134	6.0	MS2	1
144	6.0	MS3	1
156	6.0	MS2	1
170	6.0	CS2	1
180	6.0	MS4	1
190	6.0	MS1	1
200	6.0	MS3	0
210	6.0	CS1	1
220	6.0	CS1	1
232	6.0	CS3	1
242	6.0	MS3	1
252	6.0	MS1	1
266	6.0	CS3	1
278	6.0	MS1	1
290	6.0	MS3	1
300	6.0	CS4	1
312	6.0	CS4	1
322	6.0	CS3	1
332	6.0	MS4	1
348	6.0	MS1	0
362	6.0	CS2	1
372	6.0	CS3	1
382	6.0	CS2	1
392	6.0	CS1	1
402	6.0	CS4	0
414	6.0	CS1	1
426	6.0	CS2	1
438	6.0	MS3	1
