onset	duration	trial_type	correct
4	6.0	MS1	1
14	6.0	CS1	0
26	6.0	MS1	1
36	6.0	MS2	1
48	6.0	CS3	1
58	6.0	CS2	1
68	6.0	CS4	1
78	6.0	MS2	1
88	6.0	CS3	1
100	6.0	CS4	0
110	6.0	CS2	1
124	6.0	CS1	0
138	6.0	MS4	1
148	6.0	CS3	0
158	6.0	MS3	1
168	6.0	MS1	1
178	6.0	CS4	1
188	6.0	MS1	1
198	6.0	MS3	1
208	6.0	MS2	1
218	6.0	CS1	0
234	6.0	CS4	0
244	6.0	CS4	1
258	6.0	CS3	0
268	6.0	MS1	1
278	6.0	MS4	1
290	6.0	MS3	0
302	6.0	MS3	1
314	6.0	CS3	1
324	6.0	CS1	1
334	6.0	MS2	1
344	6.0	MS4	1
356	6.0	MS4	1
366	6.0	MS3	1
376	6.0	MS4	1
392	6.0	CS1	0
402	6.0	CS2	1
416	6.0	CS2	1
426	6.0	CS2	1
438	6.0	MS2	1
