onset	duration	trial_type	correct
4	6.0	MS2	1
14	6.0	MS3	1
30	6.0	MS3	1
40	6.0	CS2	1
50	6.0	CS1	1
60	6.0	MS1	1
72	6.0	MS1	1
82	6.0	MS3	1
92	6.0	MS4	1
102	6.0	MS3	1
112	6.0	CS1	1
122	6.0	MS4	1
132	6.0	CS1	1
144	6.0	CS2	0
156	6.0	MS2	1
168	6.0	MS4	1
178	6.0	CS3	1
194	6.0	CS4	1
204	6.0	MS1	1
218	6.0	MS2	0
232	6.0	CS3	0
242	6.0	CS1	1
252	6.0	MS2	1
262	6.0	MS4	1
276	6.0	CS3	1
286	6.0	CS3	1
296	6.0	CS4	1
306	6.0	MS2	1
316	6.0	CS4	1
332	6.0	MS3	1
344	6.0	CS4	1
354	6.0	CS2	0
364	6.0	MS4	1
374	6.0	MS1	1
384	6.0	CS2	0
396	6.0	CS1	1
406	6.0	CS3	1
416	6.0	CS2	1
428	6.0	MS1	1
438	6.0	CS4	1
