onset	duration	trial_type	correct
4	6.0	MS1	1
14	6.0	MS1	1
24	6.0	CS2	1
36	6.0	CS2	1
46	6.0	CS1	1
56	6.0	CS1	1
68	6.0	MS4	1
80	6.0	CS3	1
90	6.0	MS3	1
100	6.0	MS3	1
110	6.0	CS4	1
124	6.0	MS1	1
134	6.0	MS2	1
150	6.0	CS3	1
160	6.0	MS4	1
170	6.0	CS2	1
186	6.0	CS3	1
198	6.0	CS1	1
208	6.0	CS4	1
218	6.0	MS1	1
228	6.0	CS3	1
238	6.0	MS2	1
248	6.0	CS1	1
258	6.0	CS2	1
270	6.0	MS4	1
282	6.0	CS4	1
292	6.0	MS4	1
306	6.0	MS3	1
320	6.0	CS4	1
330	6.0	CS4	1
344	6.0	CS2	1
354	6.0	MS4	1
364	6.0	MS2	1
374	6.0	MS3	1
386	6.0	CS1	0
396	6.0	MS2	1
406	6.0	MS2	1
416	6.0	MS1	1
426	6.0	MS3	0
438	6.0	CS3	1
