onset	duration	trial_type	correct
4	6.0	CS3	1
14	6.0	MS1	1
24	6.0	MS3	1
36	6.0	CS4	1
46	6.0	CS4	1
56	6.0	MS4	1
66	6.0	MS3	1
76	6.0	CS2	1
86	6.0	CS3	1
98	6.0	MS2	1
108	6.0	CS1	1
118	6.0	CS3	1
128	6.0	CS1	1
138	6.0	CS2	1
148	6.0	CS1	1
158	6.0	MS2	1
168	6.0	MS1	1
180	6.0	CS2	1
192	6.0	MS3	1
202	6.0	MS3	1
216	6.0	MS4	1
228	6.0	CS2	1
244	6.0	MS1	1
254	6.0	CS3	1
264	6.0	MS4	1
274	6.0	MS1	1
284	6.0	MS4	1
296	6.0	CS3	1
312	6.0	CS4	1
326	6.0	MS3	1
336	6.0	CS1	1
350	6.0	CS1	1
360	6.0	MS1	1
370	6.0	MS2	1
380	6.0	CS4	1
390	6.0	MS2	1
400	6.0	MS4	1
410	6.0	MS2	1
422	6.0	CS4	1
436	6.0	CS2	1
