onset	duration	trial_type	braille_stimulus	targets	response_count
2.014	2.008	CUE_6_DOT	n/a	n/a	n/a
7.014	1.008	FIXCROSS	n/a	n/a	n/a
8.031	5.008	6_DOT_DETECTION	ETMMP	0	n/a
13.064	1.008	FIXCROSS	n/a	n/a	n/a
14.081	5.008	6_DOT_DETECTION	#MAM#	2	n/a
15.098	n/a	RESPONSE	n/a	n/a	1/2
18.549	n/a	RESPONSE	n/a	n/a	2/2
19.114	1.008	FIXCROSS	n/a	n/a	n/a
20.131	5.008	6_DOT_DETECTION	#MUEI	1	n/a
21.448	n/a	RESPONSE	n/a	n/a	1/1
25.164	1.008	FIXCROSS	n/a	n/a	n/a
26.181	5.008	6_DOT_DETECTION	#ODY#	2	n/a
27.241	n/a	RESPONSE	n/a	n/a	1/2
30.199	n/a	RESPONSE	n/a	n/a	2/2
31.214	1.008	FIXCROSS	n/a	n/a	n/a
32.231	5.008	6_DOT_DETECTION	L#OPP	1	n/a
35.127	n/a	RESPONSE	n/a	n/a	1/1
37.264	1.008	FIXCROSS	n/a	n/a	n/a
38.281	5.008	6_DOT_DETECTION	EESLŁ	0	n/a
40.441	n/a	RESPONSE	n/a	n/a	1/0
43.314	1.008	FIXCROSS	n/a	n/a	n/a
44.331	5.008	6_DOT_DETECTION	TLE#A	1	n/a
47.944	n/a	RESPONSE	n/a	n/a	1/1
49.364	1.008	FIXCROSS	n/a	n/a	n/a
50.381	5.008	6_DOT_DETECTION	MIT##	2	n/a
54.448	n/a	RESPONSE	n/a	n/a	1/2
57.423	2.008	CUE_REST	n/a	n/a	n/a
62.423	1.008	FIXCROSS	n/a	n/a	n/a
68.473	1.008	FIXCROSS	n/a	n/a	n/a
75.531	2.008	CUE_6_DOT	n/a	n/a	n/a
80.531	1.008	FIXCROSS	n/a	n/a	n/a
81.548	5.008	6_DOT_DETECTION	O#CLC	1	n/a
86.581	1.008	FIXCROSS	n/a	n/a	n/a
87.597	5.009	6_DOT_DETECTION	CPCPO	0	n/a
92.631	1.008	FIXCROSS	n/a	n/a	n/a
93.648	5.008	6_DOT_DETECTION	CDYCS	0	n/a
97.571	n/a	RESPONSE	n/a	n/a	1/0
98.681	1.008	FIXCROSS	n/a	n/a	n/a
99.698	5.008	6_DOT_DETECTION	#MAT#	2	n/a
100.782	n/a	RESPONSE	n/a	n/a	1/2
104.168	n/a	RESPONSE	n/a	n/a	2/2
