onset	duration	condition	trial_type	braille_stimulus	response_val	response_type
2.017	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
7.017	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
8.034	5.008	LEXICAL_DECISION	PSEUDOWORD	BADO	n/a	n/a
14.398	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
15.066	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
16.084	5.008	LEXICAL_DECISION	WORD	DEBEL	n/a	n/a
22.201	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
23.117	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
24.134	5.008	LEXICAL_DECISION	WORD	OBAL	n/a	n/a
30.114	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
31.167	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
32.184	5.008	LEXICAL_DECISION	PSEUDOWORD	LAKO	n/a	n/a
38.65	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
39.217	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
40.234	5.008	LEXICAL_DECISION	WORD	OBCA	n/a	n/a
46.649	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
49.276	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
54.276	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
55.292	5.009	6_DOT_DETECTION	NO_6-DOT	PKUŁS	n/a	n/a
59.59	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
62.326	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
63.342	5.008	6_DOT_DETECTION	6-DOT	ETS##	n/a	n/a
67.835	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
70.376	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
71.392	5.008	6_DOT_DETECTION	6-DOT	#ALK#	n/a	n/a
75.125	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
78.426	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
79.442	5.008	6_DOT_DETECTION	NO_6-DOT	TSDRO	n/a	n/a
83.054	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
86.476	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
87.492	5.008	6_DOT_DETECTION	6-DOT	O#L#	n/a	n/a
90.851	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
95.534	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
100.534	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
101.551	5.008	LEXICAL_DECISION	WORD	BOLEC	n/a	n/a
108.046	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
108.584	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
109.601	5.008	LEXICAL_DECISION	PSEUDOWORD	DBAL	n/a	n/a
115.026	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
116.634	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
117.651	5.008	LEXICAL_DECISION	PSEUDOWORD	ABDEK	n/a	n/a
124.034	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
124.684	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
125.701	5.008	LEXICAL_DECISION	WORD	OCALA	n/a	n/a
132.14	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
132.734	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
133.751	5.008	LEXICAL_DECISION	PSEUDOWORD	BEBO	n/a	n/a
140.131	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
142.292	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
