onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
39.892	n/a	19946	surroundSuppB2_start	97	n/a	n/a	n/a
41.426	n/a	20713	fixpoint_ON	4	n/a	n/a	n/a
41.94	2.4	20970	stim_ON	8	1	1	3
44.858	n/a	22429	fixpoint_ON	4	n/a	n/a	n/a
45.37	2.4	22685	stim_ON	8	1	0.6	1
48.278	n/a	24139	fixpoint_ON	4	n/a	n/a	n/a
48.79	2.4	24395	stim_ON	8	1	0.3	2
51.698	n/a	25849	fixpoint_ON	4	n/a	n/a	n/a
52.21	2.4	26105	stim_ON	8	1	0	3
55.118	n/a	27559	fixpoint_ON	4	n/a	n/a	n/a
55.63	2.4	27815	stim_ON	8	1	0	2
58.54	n/a	29270	fixpoint_ON	4	n/a	n/a	n/a
59.05	2.4	29525	stim_ON	8	1	0.3	1
61.96	n/a	30980	fixpoint_ON	4	n/a	n/a	n/a
62.47	2.4	31235	stim_ON	8	1	0.6	3
65.38	n/a	32690	fixpoint_ON	4	n/a	n/a	n/a
65.89	2.4	32945	stim_ON	8	1	1	2
68.8	n/a	34400	fixpoint_ON	4	n/a	n/a	n/a
69.31	2.4	34655	stim_ON	8	1	1	3
72.22	n/a	36110	fixpoint_ON	4	n/a	n/a	n/a
72.73	2.4	36365	stim_ON	8	1	0.6	1
75.64	n/a	37820	fixpoint_ON	4	n/a	n/a	n/a
76.15	2.4	38075	stim_ON	8	1	0.3	2
79.06	n/a	39530	fixpoint_ON	4	n/a	n/a	n/a
79.57	2.4	39785	stim_ON	8	1	0	3
82.48	n/a	41240	fixpoint_ON	4	n/a	n/a	n/a
82.99	2.4	41495	stim_ON	8	0	1	1
85.9	n/a	42950	fixpoint_ON	4	n/a	n/a	n/a
86.41	2.4	43205	stim_ON	8	0	0.6	2
89.32	n/a	44660	fixpoint_ON	4	n/a	n/a	n/a
89.83	2.4	44915	stim_ON	8	0	0.3	3
92.74	n/a	46370	fixpoint_ON	4	n/a	n/a	n/a
93.25	2.4	46625	stim_ON	8	0	0	1
96.16	n/a	48080	fixpoint_ON	4	n/a	n/a	n/a
96.67	2.4	48335	stim_ON	8	1	1	3
99.58	n/a	49790	fixpoint_ON	4	n/a	n/a	n/a
100.09	2.4	50045	stim_ON	8	1	0.6	2
103	n/a	51500	fixpoint_ON	4	n/a	n/a	n/a
103.51	2.4	51755	stim_ON	8	1	0.3	1
106.42	n/a	53210	fixpoint_ON	4	n/a	n/a	n/a
106.93	2.4	53465	stim_ON	8	1	0	3
109.84	n/a	54920	fixpoint_ON	4	n/a	n/a	n/a
110.35	2.4	55175	stim_ON	8	1	0	3
113.26	n/a	56630	fixpoint_ON	4	n/a	n/a	n/a
113.77	2.4	56885	stim_ON	8	1	0.3	1
116.68	n/a	58340	fixpoint_ON	4	n/a	n/a	n/a
117.19	2.4	58595	stim_ON	8	1	0.6	2
120.1	n/a	60050	fixpoint_ON	4	n/a	n/a	n/a
120.61	2.4	60305	stim_ON	8	1	1	3
123.52	n/a	61760	fixpoint_ON	4	n/a	n/a	n/a
124.03	2.4	62015	stim_ON	8	1	0	1
126.94	n/a	63470	fixpoint_ON	4	n/a	n/a	n/a
127.45	2.4	63725	stim_ON	8	0	0	2
130.36	n/a	65180	fixpoint_ON	4	n/a	n/a	n/a
130.87	2.4	65435	stim_ON	8	1	0.3	3
133.78	n/a	66890	fixpoint_ON	4	n/a	n/a	n/a
134.292	2.4	67146	stim_ON	8	0	0.3	1
137.2	n/a	68600	fixpoint_ON	4	n/a	n/a	n/a
137.71	2.4	68855	stim_ON	8	1	0.6	2
140.62	n/a	70310	fixpoint_ON	4	n/a	n/a	n/a
141.132	2.4	70566	stim_ON	8	0	0.6	3
144.04	n/a	72020	fixpoint_ON	4	n/a	n/a	n/a
144.552	2.4	72276	stim_ON	8	1	1	1
147.46	n/a	73730	fixpoint_ON	4	n/a	n/a	n/a
147.972	2.4	73986	stim_ON	8	0	1	2
150.882	n/a	75441	fixpoint_ON	4	n/a	n/a	n/a
151.392	2.4	75696	stim_ON	8	1	0	3
154.302	n/a	77151	fixpoint_ON	4	n/a	n/a	n/a
154.812	2.4	77406	stim_ON	8	1	0.3	1
157.722	n/a	78861	fixpoint_ON	4	n/a	n/a	n/a
158.232	2.4	79116	stim_ON	8	1	0.6	2
161.142	n/a	80571	fixpoint_ON	4	n/a	n/a	n/a
161.652	2.4	80826	stim_ON	8	1	1	3
164.562	n/a	82281	fixpoint_ON	4	n/a	n/a	n/a
165.072	2.4	82536	stim_ON	8	1	1	2
167.982	n/a	83991	fixpoint_ON	4	n/a	n/a	n/a
168.492	2.4	84246	stim_ON	8	1	0.6	1
171.402	n/a	85701	fixpoint_ON	4	n/a	n/a	n/a
171.912	2.4	85956	stim_ON	8	1	0.3	3
174.822	n/a	87411	fixpoint_ON	4	n/a	n/a	n/a
175.332	2.4	87666	stim_ON	8	1	0	2
178.242	n/a	89121	fixpoint_ON	4	n/a	n/a	n/a
178.752	2.4	89376	stim_ON	8	0	1	1
181.662	n/a	90831	fixpoint_ON	4	n/a	n/a	n/a
182.172	2.4	91086	stim_ON	8	0	0.6	2
185.082	n/a	92541	fixpoint_ON	4	n/a	n/a	n/a
185.592	2.4	92796	stim_ON	8	0	0.3	3
188.502	n/a	94251	fixpoint_ON	4	n/a	n/a	n/a
189.014	2.4	94507	stim_ON	8	0	0	1
191.922	n/a	95961	fixpoint_ON	4	n/a	n/a	n/a
192.432	2.4	96216	stim_ON	8	1	1	2
195.342	n/a	97671	fixpoint_ON	4	n/a	n/a	n/a
195.852	2.4	97926	stim_ON	8	1	0.6	3
198.762	n/a	99381	fixpoint_ON	4	n/a	n/a	n/a
199.272	2.4	99636	stim_ON	8	1	0.3	1
202.182	n/a	101091	fixpoint_ON	4	n/a	n/a	n/a
202.694	2.4	101347	stim_ON	8	1	0	2
205.602	n/a	102801	fixpoint_ON	4	n/a	n/a	n/a
206.112	2.4	103056	stim_ON	8	1	0	1
209.022	n/a	104511	fixpoint_ON	4	n/a	n/a	n/a
209.534	2.4	104767	stim_ON	8	1	0.3	3
212.442	n/a	106221	fixpoint_ON	4	n/a	n/a	n/a
212.954	2.4	106477	stim_ON	8	1	0.6	2
215.862	n/a	107931	fixpoint_ON	4	n/a	n/a	n/a
216.372	2.4	108186	stim_ON	8	1	1	1
219.282	n/a	109641	fixpoint_ON	4	n/a	n/a	n/a
219.792	2.4	109896	stim_ON	8	1	1	2
222.702	n/a	111351	fixpoint_ON	4	n/a	n/a	n/a
223.214	2.4	111607	stim_ON	8	1	0.6	3
226.122	n/a	113061	fixpoint_ON	4	n/a	n/a	n/a
226.632	2.4	113316	stim_ON	8	1	0.3	1
229.542	n/a	114771	fixpoint_ON	4	n/a	n/a	n/a
230.052	2.4	115026	stim_ON	8	1	0	2
232.962	n/a	116481	fixpoint_ON	4	n/a	n/a	n/a
233.474	2.4	116737	stim_ON	8	0	1	1
236.382	n/a	118191	fixpoint_ON	4	n/a	n/a	n/a
236.892	2.4	118446	stim_ON	8	1	1	2
239.802	n/a	119901	fixpoint_ON	4	n/a	n/a	n/a
240.314	2.4	120157	stim_ON	8	0	0.6	3
243.222	n/a	121611	fixpoint_ON	4	n/a	n/a	n/a
243.734	2.4	121867	stim_ON	8	1	0.6	1
246.642	n/a	123321	fixpoint_ON	4	n/a	n/a	n/a
247.152	2.4	123576	stim_ON	8	0	0.3	2
250.062	n/a	125031	fixpoint_ON	4	n/a	n/a	n/a
250.574	2.4	125287	stim_ON	8	1	0.3	3
253.484	n/a	126742	fixpoint_ON	4	n/a	n/a	n/a
253.996	2.4	126998	stim_ON	8	0	0	1
256.934	n/a	128467	fixpoint_ON	4	n/a	n/a	n/a
257.444	2.4	128722	stim_ON	8	1	0	2
263.484	n/a	131742	break cnt	break cnt	n/a	n/a	n/a
297.592	n/a	148796	9999	9999	n/a	n/a	n/a
