onset	duration	trial_type	domain
4	4	house	place
8	4	corridor	place
12	4	child	face
16	4	limb	body
24	4	number	character
32	4	body	body
36	4	house	place
40	4	instrument	object
44	4	car	object
48	4	corridor	place
52	4	adult	face
56	4	instrument	object
60	4	child	face
64	4	house	place
72	4	car	object
76	4	adult	face
80	4	instrument	object
84	4	word	character
88	4	corridor	place
92	4	car	object
96	4	limb	body
100	4	instrument	object
108	4	car	object
112	4	instrument	object
116	4	body	body
120	4	limb	body
124	4	house	place
128	4	number	character
132	4	word	character
140	4	child	face
144	4	adult	face
148	4	number	character
152	4	child	face
156	4	body	body
160	4	adult	face
168	4	limb	body
172	4	body	body
176	4	child	face
180	4	adult	face
188	4	child	face
192	4	word	character
196	4	corridor	place
200	4	limb	body
204	4	number	character
208	4	car	object
212	4	word	character
216	4	instrument	object
220	4	house	place
224	4	number	character
228	4	body	body
232	4	word	character
236	4	limb	body
240	4	car	object
248	4	corridor	place
260	4	number	character
264	4	word	character
268	4	adult	face
272	4	house	place
276	4	body	body
288	4	corridor	place
