onset	duration	trial_type	domain
4	4	instrument	object
20	4	house	place
24	4	number	character
28	4	corridor	place
32	4	house	place
36	4	word	character
40	4	corridor	place
44	4	car	object
48	4	house	place
56	4	child	face
60	4	number	character
64	4	adult	face
68	4	instrument	object
72	4	limb	body
76	4	child	face
80	4	word	character
84	4	adult	face
88	4	child	face
92	4	corridor	place
96	4	adult	face
100	4	child	face
104	4	body	body
108	4	number	character
112	4	car	object
120	4	word	character
124	4	number	character
132	4	limb	body
136	4	body	body
144	4	adult	face
152	4	house	place
156	4	limb	body
160	4	corridor	place
164	4	body	body
168	4	word	character
172	4	limb	body
176	4	body	body
180	4	child	face
184	4	house	place
188	4	adult	face
192	4	limb	body
196	4	instrument	object
200	4	car	object
204	4	number	character
208	4	body	body
212	4	instrument	object
216	4	child	face
224	4	word	character
228	4	number	character
236	4	car	object
240	4	corridor	place
248	4	limb	body
256	4	instrument	object
260	4	word	character
264	4	car	object
268	4	adult	face
272	4	instrument	object
276	4	car	object
280	4	body	body
284	4	house	place
288	4	corridor	place
