onset	duration	trial_type	domain
4	4	child	face
12	4	adult	face
16	4	limb	body
28	4	house	place
32	4	corridor	place
40	4	instrument	object
44	4	house	place
48	4	number	character
52	4	word	character
56	4	car	object
60	4	child	face
64	4	body	body
68	4	instrument	object
72	4	limb	body
76	4	number	character
84	4	car	object
88	4	corridor	place
92	4	instrument	object
100	4	body	body
104	4	car	object
112	4	word	character
116	4	house	place
120	4	instrument	object
124	4	number	character
128	4	adult	face
136	4	corridor	place
140	4	house	place
144	4	word	character
148	4	number	character
152	4	limb	body
156	4	word	character
160	4	body	body
164	4	limb	body
168	4	corridor	place
176	4	body	body
180	4	child	face
184	4	number	character
188	4	car	object
192	4	instrument	object
196	4	word	character
204	4	adult	face
208	4	number	character
212	4	child	face
216	4	car	object
220	4	instrument	object
224	4	limb	body
236	4	word	character
240	4	house	place
244	4	body	body
248	4	corridor	place
252	4	adult	face
256	4	house	place
260	4	limb	body
264	4	body	body
268	4	child	face
272	4	adult	face
276	4	car	object
280	4	child	face
284	4	adult	face
288	4	corridor	place
