onset	duration	trial_type	domain
4	4	child	face
8	4	limb	body
16	4	number	character
24	4	adult	face
40	4	house	place
44	4	word	character
48	4	corridor	place
52	4	number	character
56	4	instrument	object
60	4	car	object
64	4	word	character
68	4	instrument	object
72	4	body	body
76	4	child	face
80	4	adult	face
84	4	child	face
88	4	house	place
92	4	car	object
96	4	adult	face
100	4	number	character
104	4	corridor	place
108	4	limb	body
112	4	instrument	object
116	4	car	object
120	4	body	body
124	4	house	place
132	4	corridor	place
136	4	instrument	object
140	4	house	place
144	4	corridor	place
152	4	word	character
156	4	number	character
164	4	child	face
168	4	car	object
172	4	house	place
176	4	adult	face
180	4	corridor	place
184	4	house	place
188	4	child	face
192	4	limb	body
196	4	body	body
200	4	corridor	place
204	4	limb	body
208	4	body	body
212	4	instrument	object
220	4	car	object
228	4	limb	body
232	4	adult	face
236	4	word	character
240	4	child	face
248	4	instrument	object
252	4	number	character
256	4	word	character
260	4	body	body
268	4	limb	body
272	4	number	character
276	4	body	body
280	4	word	character
284	4	adult	face
288	4	car	object
