onset	duration	sample	trial_type	value
0	0.002	1	New Segment	n/a
0	0.002	1	Scanner	Scan Start
2	0.002	1001	Scanner	Scan Start
4	0.002	2001	Scanner	Scan Start
6	0.002	3001	Scanner	Scan Start
8	0.002	4001	Scanner	Scan Start
10	0.002	5001	Scanner	Scan Start
12	0.002	6001	Scanner	Scan Start
14	0.002	7001	Scanner	Scan Start
16	0.002	8001	Scanner	Scan Start
18	0.002	9001	Scanner	Scan Start
20	0.002	10001	Scanner	Scan Start
22	0.002	11001	Scanner	Scan Start
24	0.002	12001	Scanner	Scan Start
26	0.002	13001	Scanner	Scan Start
28	0.002	14001	Scanner	Scan Start
30	0.002	15001	Scanner	Scan Start
32	0.002	16001	Scanner	Scan Start
34	0.002	17001	Scanner	Scan Start
36	0.002	18001	Scanner	Scan Start
38	0.002	19001	Scanner	Scan Start
40	0.002	20001	Scanner	Scan Start
42	0.002	21001	Scanner	Scan Start
44	0.002	22001	Scanner	Scan Start
46	0.002	23001	Scanner	Scan Start
48	0.002	24001	Scanner	Scan Start
50	0.002	25001	Scanner	Scan Start
52	0.002	26001	Scanner	Scan Start
54	0.002	27001	Scanner	Scan Start
56	0.002	28001	Scanner	Scan Start
58	0.002	29001	Scanner	Scan Start
60	0.002	30001	Scanner	Scan Start
62	0.002	31001	Scanner	Scan Start
64	0.002	32001	Scanner	Scan Start
66	0.002	33001	Scanner	Scan Start
68	0.002	34001	Scanner	Scan Start
70	0.002	35001	Scanner	Scan Start
72	0.002	36001	Scanner	Scan Start
74	0.002	37001	Scanner	Scan Start
76	0.002	38001	Scanner	Scan Start
78	0.002	39001	Scanner	Scan Start
80	0.002	40001	Scanner	Scan Start
82	0.002	41001	Scanner	Scan Start
84	0.002	42001	Scanner	Scan Start
86	0.002	43001	Scanner	Scan Start
88	0.002	44001	Scanner	Scan Start
90	0.002	45001	Scanner	Scan Start
92	0.002	46001	Scanner	Scan Start
94	0.002	47001	Scanner	Scan Start
96	0.002	48001	Scanner	Scan Start
98	0.002	49001	Scanner	Scan Start
100	0.002	50001	Scanner	Scan Start
102	0.002	51001	Scanner	Scan Start
104	0.002	52001	Scanner	Scan Start
106	0.002	53001	Scanner	Scan Start
108	0.002	54001	Scanner	Scan Start
110	0.002	55001	Scanner	Scan Start
112	0.002	56001	Scanner	Scan Start
114	0.002	57001	Scanner	Scan Start
116	0.002	58001	Scanner	Scan Start
118	0.002	59001	Scanner	Scan Start
120	0.002	60001	Scanner	Scan Start
122	0.002	61001	Scanner	Scan Start
124	0.002	62001	Scanner	Scan Start
126	0.002	63001	Scanner	Scan Start
128	0.002	64001	Scanner	Scan Start
130	0.002	65001	Scanner	Scan Start
132	0.002	66001	Scanner	Scan Start
134	0.002	67001	Scanner	Scan Start
136	0.002	68001	Scanner	Scan Start
138	0.002	69001	Scanner	Scan Start
