onset	duration	trial_type	response
0.0228	8.8226	p_startup	other
8.8621	0.4227	grid	other
9.2848	1.5226	6_dots_control	other
10.8074	3.0226	maintenance	other
15.2847	1.5227	response	miss
16.824	0.4226	grid	other
17.2466	1.5226	2_dots	other
18.7692	3.0226	maintenance	other
23.2466	2.5226	response	miss
25.7859	0.4226	grid	other
26.2085	1.5226	2_dots	other
27.731	3.0226	maintenance	other
32.2085	4.5226	response	miss
36.7477	0.4226	grid	other
37.1703	1.5226	4_dots_control	other
38.6929	3.0226	maintenance	other
43.1703	6.0226	response	miss
49.2096	0.4226	grid	other
49.6322	1.5226	2_dots_control	other
51.1548	3.0226	maintenance	other
55.6322	2.0226	response	miss
57.6714	0.4226	grid	other
58.094	1.5226	4_dots	other
59.6166	3.0226	maintenance	other
64.094	1.5226	response	miss
65.6333	0.4226	grid	other
66.0559	1.5226	2_dots_control	other
67.5784	3.0226	maintenance	other
72.0559	1.5226	response	miss
73.5951	0.4226	grid	other
74.0177	1.5226	6_dots	other
75.5403	3.0226	maintenance	other
80.0177	4.5226	response	miss
84.557	0.4226	grid	other
84.9795	1.5226	2_dots_control	other
86.5021	3.0226	maintenance	other
90.9796	1.0226	response	miss
92.0188	0.4226	grid	other
92.4414	1.5226	6_dots_control	other
93.964	3.0226	maintenance	other
98.4414	4.5226	response	miss
102.9807	0.4226	grid	other
103.4032	1.5226	6_dots	other
104.9258	3.0226	maintenance	other
109.4032	3.5226	response	miss
112.9425	0.4226	grid	other
113.3651	1.5226	2_dots_control	other
114.8877	3.0226	maintenance	other
119.3651	1.5226	response	miss
120.9043	0.4226	grid	other
121.3269	1.5226	4_dots_control	other
122.8495	3.0226	maintenance	other
127.3269	1.5226	response	miss
128.8662	0.4226	grid	other
129.2888	1.5226	6_dots	other
130.8114	3.0226	maintenance	other
135.2888	2.5226	response	miss
137.828	0.4226	grid	other
138.2506	1.5226	4_dots_control	other
139.7732	3.0226	maintenance	other
144.2506	3.5226	response	miss
147.7899	0.4226	grid	other
148.2125	1.5226	6_dots_control	other
149.7351	3.0226	maintenance	other
154.2125	1.5226	response	miss
155.7518	0.4226	grid	other
156.1743	1.5226	4_dots_control	other
157.697	3.0226	maintenance	other
162.1743	2.0226	response	miss
164.2136	0.4226	grid	other
164.6362	1.5226	4_dots	other
166.1588	3.0226	maintenance	other
170.6362	4.0226	response	miss
174.6755	0.4226	grid	other
175.0981	1.5226	6_dots	other
176.6207	3.0226	maintenance	other
181.0981	6.0226	response	miss
187.1373	0.4226	grid	other
187.5599	1.5226	6_dots_control	other
189.0825	3.0226	maintenance	other
193.5599	3.0226	response	miss
196.5992	0.4226	grid	other
197.0218	1.5226	6_dots_control	other
198.5443	3.0226	maintenance	other
203.0218	2.5226	response	miss
205.5611	0.4226	grid	other
205.9836	1.5226	2_dots	other
207.5063	3.0226	maintenance	other
211.9836	1.5226	response	miss
213.5229	0.4226	grid	other
213.9455	1.5226	4_dots	other
215.4681	3.0226	maintenance	other
219.9455	1.5226	response	miss
221.4847	0.4226	grid	other
221.9073	1.5226	4_dots_control	other
223.4299	3.0226	maintenance	other
227.9073	3.5226	response	miss
231.4466	0.4226	grid	other
231.8692	1.5226	4_dots_control	other
233.3918	3.0226	maintenance	other
237.8692	2.5226	response	miss
240.4085	0.4226	grid	other
240.8311	1.5226	4_dots	other
242.3537	3.0226	maintenance	other
246.8311	3.0226	response	miss
249.8703	0.4226	grid	other
250.2929	1.5226	2_dots	other
251.8155	3.0226	maintenance	other
256.2929	4.5226	response	miss
260.8322	0.4226	grid	other
261.2548	1.5226	4_dots	other
262.7774	3.0226	maintenance	other
267.2548	4.5226	response	miss
271.794	0.4226	grid	other
272.2166	1.5226	6_dots_control	other
273.7392	3.0226	maintenance	other
278.2166	3.0226	response	miss
281.2559	0.4226	grid	other
281.6784	1.5226	2_dots_control	other
283.201	3.0226	maintenance	other
287.6785	1.5226	response	miss
289.2177	0.4226	grid	other
289.6403	1.5226	6_dots	other
291.1629	3.0226	maintenance	other
295.6403	1.5226	response	miss
297.1796	0.4226	grid	other
297.6022	1.5226	2_dots	other
299.1248	3.0226	maintenance	other
303.6022	5.0226	response	miss
308.6414	0.4226	grid	other
309.064	1.5226	2_dots	other
310.5866	3.0226	maintenance	other
315.064	6.0227	response	miss
321.1034	0.4226	grid	other
321.526	1.5226	4_dots	other
323.0486	3.0226	maintenance	other
327.526	4.5226	response	miss
332.0653	0.4226	grid	other
332.4878	1.5226	6_dots	other
334.0104	3.0226	maintenance	other
338.4878	4.0226	response	miss
342.5271	0.4226	grid	other
342.9497	1.5226	2_dots_control	other
344.4723	3.0226	maintenance	other
348.9497	1.5226	response	miss
350.4889	6.0226	Bfix	other
