onset	duration	trial_type	response
0.0228	8.8226	p_startup	other
8.8621	0.4226	grid	other
9.2848	1.5227	6_dots	other
10.8074	3.0226	maintenance	other
15.2848	1.0226	response	miss
16.324	0.4226	grid	other
16.7466	1.5226	2_dots_control	other
18.2692	3.0226	maintenance	other
22.7466	2.0226	response	miss
24.7858	0.4226	grid	other
25.2084	1.5226	2_dots	other
26.731	3.0226	maintenance	other
31.2085	3.0226	response	miss
34.2477	0.4226	grid	other
34.6703	1.5226	4_dots	other
36.1929	3.0226	maintenance	other
40.6703	2.0226	response	miss
42.7096	0.4226	grid	other
43.1322	1.5226	6_dots_control	other
44.6548	3.0226	maintenance	other
49.1322	1.5226	response	miss
50.6714	0.4226	grid	other
51.094	1.5226	4_dots	other
52.6166	3.0226	maintenance	other
57.094	1.0226	response	miss
58.1333	0.4226	grid	other
58.5559	1.5226	4_dots_control	other
60.0785	3.0226	maintenance	other
64.5559	1.5226	response	miss
66.0951	0.4226	grid	other
66.5178	1.5226	6_dots_control	other
68.0404	3.0226	maintenance	other
72.5178	2.5226	response	miss
75.0571	0.4226	grid	other
75.4797	1.5226	4_dots_control	other
77.0023	3.0226	maintenance	other
81.4797	3.5226	response	miss
85.0189	0.4226	grid	other
85.4415	1.5226	6_dots_control	other
86.9641	3.0226	maintenance	other
91.4416	4.5226	response	miss
95.9808	0.4226	grid	other
96.4034	1.5226	2_dots	other
97.926	3.0226	maintenance	other
102.4034	1.5226	response	miss
103.9426	0.4226	grid	other
104.3652	1.5226	4_dots	other
105.8878	3.0226	maintenance	other
110.3653	3.0226	response	miss
113.4046	0.4226	grid	other
113.8272	1.5226	4_dots_control	other
115.3497	3.0226	maintenance	other
119.8272	2.0226	response	miss
121.8664	0.4226	grid	other
122.289	1.5226	6_dots	other
123.8116	3.0226	maintenance	other
128.289	1.5226	response	miss
129.8283	0.4226	grid	other
130.2509	1.5226	2_dots	other
131.7735	3.0226	maintenance	other
136.2509	4.0226	response	miss
140.2901	0.4226	grid	other
140.7127	1.5226	2_dots_control	other
142.2353	3.0226	maintenance	other
146.7127	2.0226	response	miss
148.752	0.4226	grid	other
149.1746	1.5226	2_dots	other
150.6972	3.0226	maintenance	other
155.1746	3.0226	response	miss
158.2138	0.4226	grid	other
158.6364	1.5226	6_dots	other
160.159	3.0226	maintenance	other
164.6364	1.0226	response	miss
165.6757	0.4226	grid	other
166.0983	1.5226	2_dots	other
167.6209	3.0226	maintenance	other
172.0983	3.5226	response	miss
175.6376	0.4226	grid	other
176.0601	1.5226	2_dots	other
177.5827	3.0226	maintenance	other
182.0602	2.5226	response	miss
184.5994	0.4226	grid	other
185.022	1.5226	4_dots_control	other
186.5446	3.0226	maintenance	other
191.022	5.5226	response	miss
196.5613	0.4226	grid	other
196.9839	1.5226	4_dots	other
198.5065	3.0226	maintenance	other
202.9839	1.5226	response	miss
204.5231	0.4226	grid	other
204.9457	1.5226	6_dots_control	other
206.4683	3.0226	maintenance	other
210.9457	5.0226	response	miss
215.985	0.4226	grid	other
216.4076	1.5226	6_dots	other
217.9302	3.0226	maintenance	other
222.4076	6.0226	response	miss
228.4469	0.4226	grid	other
228.8694	1.5226	4_dots_control	other
230.392	3.0226	maintenance	other
234.8695	2.0226	response	miss
236.9087	0.4226	grid	other
237.3313	1.5226	2_dots_control	other
238.8539	3.0226	maintenance	other
243.3313	1.5226	response	miss
244.8706	0.4226	grid	other
245.2931	1.5226	6_dots	other
246.8157	3.0226	maintenance	other
251.2931	4.0226	response	miss
255.3324	0.4226	grid	other
255.755	1.5226	6_dots_control	other
257.2776	3.0226	maintenance	other
261.755	6.0226	response	miss
267.7943	0.4226	grid	other
268.2168	1.5226	4_dots	other
269.7394	3.0226	maintenance	other
274.2168	3.0226	response	miss
277.2561	0.4056	grid	other
277.6617	1.5226	6_dots	other
279.1843	3.0226	maintenance	other
283.6787	4.0226	response	miss
287.7179	0.4226	grid	other
288.1405	1.5226	2_dots_control	other
289.6631	3.0226	maintenance	other
294.1405	3.5226	response	miss
297.6798	0.4226	grid	other
298.1023	1.5226	2_dots_control	other
299.6249	3.0226	maintenance	other
304.1023	1.5226	response	miss
305.6416	0.4226	grid	other
306.0642	1.5226	4_dots_control	other
307.5868	3.0226	maintenance	other
312.0642	2.0226	response	miss
314.1034	0.4226	grid	other
314.526	1.5226	2_dots_control	other
316.0486	3.0226	maintenance	other
320.526	5.5226	response	miss
326.0653	0.4226	grid	other
326.4879	1.5226	2_dots	other
328.0104	3.0226	maintenance	other
332.4879	6.0226	response	miss
338.5271	0.4226	grid	other
338.9497	1.5226	6_dots_control	other
340.4723	3.0226	maintenance	other
344.9497	3.0226	response	miss
347.989	7.1663	Bfix	other
