onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
36.062	n/a	18031	surroundSuppB1_start	93	n/a	n/a	n/a
37.61	n/a	18805	fixpoint_ON	4	n/a	n/a	n/a
38.128	2.4	19064	stim_ON	8	1	0	2
41.036	n/a	20518	fixpoint_ON	4	n/a	n/a	n/a
41.546	2.4	20773	stim_ON	8	1	0.3	3
44.456	n/a	22228	fixpoint_ON	4	n/a	n/a	n/a
44.966	2.4	22483	stim_ON	8	1	0.6	1
47.876	n/a	23938	fixpoint_ON	4	n/a	n/a	n/a
48.386	2.4	24193	stim_ON	8	1	1	2
51.296	n/a	25648	fixpoint_ON	4	n/a	n/a	n/a
51.806	2.4	25903	stim_ON	8	1	0	3
54.716	n/a	27358	fixpoint_ON	4	n/a	n/a	n/a
55.226	2.4	27613	stim_ON	8	1	0.3	2
58.136	n/a	29068	fixpoint_ON	4	n/a	n/a	n/a
58.646	2.4	29323	stim_ON	8	1	0.6	1
61.556	n/a	30778	fixpoint_ON	4	n/a	n/a	n/a
62.066	2.4	31033	stim_ON	8	1	1	3
64.976	n/a	32488	fixpoint_ON	4	n/a	n/a	n/a
65.486	2.4	32743	stim_ON	8	1	0	2
68.396	n/a	34198	fixpoint_ON	4	n/a	n/a	n/a
68.906	2.4	34453	stim_ON	8	1	0.3	3
71.816	n/a	35908	fixpoint_ON	4	n/a	n/a	n/a
72.326	2.4	36163	stim_ON	8	1	0.6	1
75.236	n/a	37618	fixpoint_ON	4	n/a	n/a	n/a
75.746	2.4	37873	stim_ON	8	1	1	2
78.656	n/a	39328	fixpoint_ON	4	n/a	n/a	n/a
79.166	2.4	39583	stim_ON	8	0	0	3
82.076	n/a	41038	fixpoint_ON	4	n/a	n/a	n/a
82.586	2.4	41293	stim_ON	8	0	0.3	1
85.496	n/a	42748	fixpoint_ON	4	n/a	n/a	n/a
86.006	2.4	43003	stim_ON	8	0	0.6	2
88.916	n/a	44458	fixpoint_ON	4	n/a	n/a	n/a
89.426	2.4	44713	stim_ON	8	0	1	3
92.336	n/a	46168	fixpoint_ON	4	n/a	n/a	n/a
92.846	2.4	46423	stim_ON	8	1	1	1
95.756	n/a	47878	fixpoint_ON	4	n/a	n/a	n/a
96.268	2.4	48134	stim_ON	8	1	0.6	3
99.176	n/a	49588	fixpoint_ON	4	n/a	n/a	n/a
99.686	2.4	49843	stim_ON	8	1	0.3	2
102.596	n/a	51298	fixpoint_ON	4	n/a	n/a	n/a
103.108	2.4	51554	stim_ON	8	1	0	1
106.016	n/a	53008	fixpoint_ON	4	n/a	n/a	n/a
106.526	2.4	53263	stim_ON	8	1	1	1
109.436	n/a	54718	fixpoint_ON	4	n/a	n/a	n/a
109.946	2.4	54973	stim_ON	8	1	0.6	2
112.856	n/a	56428	fixpoint_ON	4	n/a	n/a	n/a
113.366	2.4	56683	stim_ON	8	1	0.3	3
