onset	duration	isError	targetForce	forceLevel	speedLevel	targetSpeed	numPress
  6.501	6	1	2.5	L	M	10	10
 14.501	6	0	2.5	L	M	10	10
 22.501	6	0	2.5	L	L	 6	 6
 30.501	6	0	  6	M	L	 6	 6
 38.501	6	0	2.5	L	L	 6	 6
 46.502	6	0	 10	H	L	 6	 6
 54.501	6	1	2.5	L	L	 6	 6
   62.5	6	0	2.5	L	H	18	18
   70.5	6	0	2.5	L	H	18	18
 78.502	6	0	  6	M	L	 6	 6
 98.501	6	1	2.5	L	H	18	17
106.501	6	0	2.5	L	M	10	10
114.501	6	0	 10	H	L	 6	 6
134.501	6	0	2.5	L	L	 6	 6
142.501	6	1	2.5	L	H	18	17
162.501	6	0	 10	H	L	 6	 6
170.502	6	0	2.5	L	M	10	10
178.502	6	0	 10	H	L	 6	 6
186.501	6	0	 10	H	L	 6	 6
194.501	6	0	2.5	L	L	 6	 6
202.501	6	0	  6	M	L	 6	 6
210.501	6	0	2.5	L	M	10	10
218.501	6	0	  6	M	L	 6	 6
  238.5	6	0	  6	M	L	 6	 6
246.501	6	0	2.5	L	H	18	18
  6.501	6	0	2.5	L	L	 6	 6
 26.501	6	0	 10	H	L	 6	 6
 34.502	6	0	2.5	L	L	 6	 6
   42.5	6	1	2.5	L	H	18	18
 50.501	6	0	2.5	L	M	10	10
 58.501	6	0	  6	M	L	 6	 6
 66.501	6	1	 10	H	L	 6	 6
 74.501	6	0	 10	H	L	 6	 6
   82.5	6	0	  6	M	L	 6	 6
   90.5	6	1	2.5	L	H	18	15
110.501	6	0	  6	M	L	 6	 6
118.502	6	0	2.5	L	M	10	10
126.501	6	0	 10	H	L	 6	 6
134.501	6	0	2.5	L	M	10	10
142.501	6	1	2.5	L	H	18	15
150.501	6	1	2.5	L	L	 6	 6
158.501	6	1	2.5	L	H	18	18
178.501	6	0	2.5	L	M	10	10
198.501	6	0	2.5	L	M	10	10
206.501	6	0	  6	M	L	 6	 6
  214.5	6	0	2.5	L	L	 6	 6
  222.5	6	0	  6	M	L	 6	 6
230.501	6	0	2.5	L	H	18	18
238.501	6	0	 10	H	L	 6	 6
246.501	6	0	2.5	L	L	 6	 6
 18.501	6	1	  6	M	L	 6	 6
 26.501	6	0	2.5	L	L	 6	 6
   34.5	6	1	2.5	L	H	18	18
 42.501	6	1	2.5	L	L	 6	 6
   50.5	6	0	  6	M	L	 6	 6
   58.5	6	0	  6	M	L	 6	 6
   66.5	6	1	2.5	L	H	18	17
 74.501	6	1	2.5	L	M	10	10
 94.501	6	1	2.5	L	H	18	18
102.501	6	0	2.5	L	M	10	10
110.501	6	0	2.5	L	M	10	10
118.501	6	0	 10	H	L	 6	 6
126.501	6	0	 10	H	L	 6	 6
134.501	6	0	  6	M	L	 6	 6
  142.5	6	0	 10	H	L	 6	 6
150.501	6	0	 10	H	L	 6	 6
158.501	6	0	2.5	L	H	18	18
166.501	6	0	  6	M	L	 6	 6
  186.5	6	1	2.5	L	L	 6	 6
  194.5	6	0	2.5	L	M	10	10
202.502	6	0	2.5	L	H	18	18
222.501	6	0	2.5	L	L	 6	 6
230.502	6	0	2.5	L	L	 6	 6
238.501	6	1	2.5	L	M	10	10
246.501	6	0	 10	H	L	 6	 6
   18.5	6	1	2.5	L	L	 6	 6
   26.5	6	0	2.5	L	M	10	10
 34.501	6	1	  6	M	L	 6	 6
 42.501	6	0	2.5	L	L	 6	 6
 50.501	6	1	2.5	L	H	18	18
   58.5	6	0	 10	H	L	 6	 6
 66.501	6	0	2.5	L	H	18	18
 74.502	6	0	  6	M	L	 6	 6
   82.5	6	0	  6	M	L	 6	 6
   90.5	6	0	 10	H	L	 6	 6
 98.501	6	0	2.5	L	H	18	18
106.502	6	0	2.5	L	H	18	18
  114.5	6	0	2.5	L	M	10	10
122.501	6	0	2.5	L	L	 6	 6
  130.5	6	0	  6	M	L	 6	 6
138.502	6	0	 10	H	L	 6	 6
158.501	6	0	 10	H	L	 6	 6
166.502	6	0	2.5	L	L	 6	 6
  174.5	6	0	2.5	L	M	10	10
  194.5	6	1	  6	M	L	 6	 6
202.502	6	0	2.5	L	H	18	18
  222.5	6	0	 10	H	L	 6	 6
  230.5	6	0	2.5	L	L	 6	 6
  238.5	6	0	2.5	L	M	10	10
  246.5	6	0	2.5	L	M	10	10
