onset	duration	trial_type	response_time	button
3	1.6	Condition_2	n/a	n/a
14	1.6	Condition_1	n/a	n/a
24	1.6	Condition_3	n/a	n/a
34	1.6	Condition_5	n/a	n/a
45	1.6	Condition_1	n/a	n/a
53	1.6	Condition_2	n/a	n/a
61	1.6	Condition_1	n/a	n/a
72	1.6	Condition_2	n/a	n/a
80	1.6	Condition_3	n/a	n/a
91	1.6	Condition_2	n/a	n/a
102	1.6	Condition_4	n/a	n/a
110	1.6	Condition_1	n/a	n/a
120	1.6	Condition_6	n/a	n/a
130	1.6	Condition_4	n/a	n/a
138	1.6	Condition_6	n/a	n/a
147	1.6	Condition_4	n/a	n/a
157	1.6	Condition_2	n/a	n/a
168	1.6	Condition_2	n/a	n/a
176	1.6	Condition_4	n/a	n/a
186	1.6	Condition_1	n/a	n/a
195	1.6	Condition_5	n/a	n/a
203	1.6	Condition_2	n/a	n/a
213	1.6	Condition_1	n/a	n/a
222	1.6	Condition_1	n/a	n/a
232	1.6	Condition_2	n/a	n/a
243	1.6	Condition_6	n/a	n/a
254	1.6	Condition_1	n/a	n/a
262	1.6	Condition_5	n/a	n/a
272	1.6	Condition_3	n/a	n/a
283	1.6	Condition_5	n/a	n/a
293	1.6	Condition_1	n/a	n/a
301	1.6	Condition_2	n/a	n/a
312	1.6	Condition_3	n/a	n/a
320	1.6	Condition_1	n/a	n/a
330	1.6	Condition_6	n/a	n/a
339	1.6	Condition_2	n/a	n/a
