onset	duration	trial_type	response_time	button
3	1.6	Condition_1	n/a	n/a
14	1.6	Condition_2	n/a	n/a
26	1.6	Condition_1	n/a	n/a
35	1.6	Condition_2	n/a	n/a
46	1.6	Condition_6	n/a	n/a
56	1.6	Condition_1	n/a	n/a
66	1.6	Condition_2	n/a	n/a
74	1.6	Condition_5	n/a	n/a
82	1.6	Condition_2	n/a	n/a
91	1.6	Condition_1	n/a	n/a
101	1.6	Condition_6	n/a	n/a
109	1.6	Condition_3	n/a	n/a
117	1.6	Condition_2	n/a	n/a
126	1.6	Condition_1	n/a	n/a
138	1.6	Condition_1	n/a	n/a
149	1.6	Condition_5	n/a	n/a
160	1.6	Condition_2	n/a	n/a
170	1.6	Condition_6	n/a	n/a
181	1.6	Condition_2	n/a	n/a
190	1.6	Condition_5	n/a	n/a
202	1.6	Condition_4	n/a	n/a
213	1.6	Condition_1	n/a	n/a
224	1.6	Condition_3	n/a	n/a
232	1.6	Condition_4	n/a	n/a
242	1.6	Condition_3	n/a	n/a
251	1.6	Condition_5	n/a	n/a
259	1.6	Condition_1	n/a	n/a
269	1.6	Condition_4	n/a	n/a
278	1.6	Condition_1	n/a	n/a
288	1.6	Condition_2	n/a	n/a
296	1.6	Condition_6	n/a	n/a
306	1.6	Condition_4	n/a	n/a
315	1.6	Condition_2	n/a	n/a
323	1.6	Condition_2	n/a	n/a
333	1.6	Condition_3	n/a	n/a
341	1.6	Condition_1	n/a	n/a
