onset	duration	trial_type	response_time	button
3	1.6	Condition_1	n/a	n/a
13	1.6	Condition_3	n/a	n/a
21	1.6	Condition_1	n/a	n/a
30	1.6	Condition_2	n/a	n/a
42	1.6	Condition_5	n/a	n/a
51	1.6	Condition_2	n/a	n/a
59	1.6	Condition_1	n/a	n/a
70	1.6	Condition_1	n/a	n/a
78	1.6	Condition_4	n/a	n/a
88	1.6	Condition_6	n/a	n/a
99	1.6	Condition_1	n/a	n/a
107	1.6	Condition_5	n/a	n/a
115	1.6	Condition_3	n/a	n/a
125	1.6	Condition_2	n/a	n/a
134	1.6	Condition_3	n/a	n/a
142	1.6	Condition_6	n/a	n/a
150	1.6	Condition_2	n/a	n/a
162	1.6	Condition_2	n/a	n/a
171	1.6	Condition_5	n/a	n/a
182	1.6	Condition_2	n/a	n/a
192	1.6	Condition_4	n/a	n/a
203	1.6	Condition_3	n/a	n/a
213	1.6	Condition_6	n/a	n/a
222	1.6	Condition_1	n/a	n/a
232	1.6	Condition_5	n/a	n/a
243	1.6	Condition_6	n/a	n/a
253	1.6	Condition_2	n/a	n/a
264	1.6	Condition_4	n/a	n/a
274	1.6	Condition_1	n/a	n/a
282	1.6	Condition_2	n/a	n/a
291	1.6	Condition_1	n/a	n/a
301	1.6	Condition_4	n/a	n/a
312	1.6	Condition_2	n/a	n/a
323	1.6	Condition_1	n/a	n/a
331	1.6	Condition_2	n/a	n/a
339	1.6	Condition_1	n/a	n/a
