onset	duration	trial_type	response_time	button
3	1.6	Condition_2	n/a	n/a
14	1.6	Condition_6	n/a	n/a
24	1.6	Condition_2	n/a	n/a
34	1.6	Condition_3	n/a	n/a
43	1.6	Condition_2	n/a	n/a
54	1.6	Condition_4	n/a	n/a
64	1.6	Condition_1	n/a	n/a
74	1.6	Condition_5	n/a	n/a
85	1.6	Condition_2	n/a	n/a
94	1.6	Condition_1	n/a	n/a
106	1.6	Condition_1	n/a	n/a
114	1.6	Condition_2	n/a	n/a
125	1.6	Condition_5	n/a	n/a
136	1.6	Condition_1	n/a	n/a
144	1.6	Condition_6	n/a	n/a
154	1.6	Condition_2	n/a	n/a
163	1.6	Condition_1	n/a	n/a
171	1.6	Condition_4	n/a	n/a
179	1.6	Condition_5	n/a	n/a
189	1.6	Condition_3	n/a	n/a
200	1.6	Condition_2	n/a	n/a
210	1.6	Condition_6	n/a	n/a
219	1.6	Condition_5	n/a	n/a
229	1.6	Condition_4	n/a	n/a
237	1.6	Condition_1	n/a	n/a
246	1.6	Condition_6	n/a	n/a
258	1.6	Condition_1	n/a	n/a
266	1.6	Condition_2	n/a	n/a
274	1.6	Condition_1	n/a	n/a
282	1.6	Condition_3	n/a	n/a
290	1.6	Condition_2	n/a	n/a
301	1.6	Condition_3	n/a	n/a
310	1.6	Condition_1	n/a	n/a
320	1.6	Condition_4	n/a	n/a
328	1.6	Condition_1	n/a	n/a
339	1.6	Condition_2	n/a	n/a
