onset	duration	trial_type	response_time	button
3	1.6	Condition_5	n/a	n/a
13	1.6	Condition_2	n/a	n/a
22	1.6	Condition_6	n/a	n/a
30	1.6	Condition_2	n/a	n/a
38	1.6	Condition_1	n/a	n/a
48	1.6	Condition_2	n/a	n/a
58	1.6	Condition_1	n/a	n/a
69	1.6	Condition_2	n/a	n/a
80	1.6	Condition_1	n/a	n/a
91	1.6	Condition_4	n/a	n/a
101	1.6	Condition_3	n/a	n/a
109	1.6	Condition_2	n/a	n/a
118	1.6	Condition_3	n/a	n/a
128	1.6	Condition_1	n/a	n/a
139	1.6	Condition_5	n/a	n/a
150	1.6	Condition_2	n/a	n/a
158	1.6	Condition_1	n/a	n/a
168	1.6	Condition_4	n/a	n/a
178	1.6	Condition_2	n/a	n/a
186	1.6	Condition_2	n/a	n/a
197	1.6	Condition_1	n/a	n/a
208	1.6	Condition_6	n/a	n/a
219	1.6	Condition_1	n/a	n/a
227	1.6	Condition_4	n/a	n/a
238	1.6	Condition_2	n/a	n/a
248	1.6	Condition_6	n/a	n/a
258	1.6	Condition_2	n/a	n/a
266	1.6	Condition_5	n/a	n/a
274	1.6	Condition_3	n/a	n/a
283	1.6	Condition_5	n/a	n/a
291	1.6	Condition_6	n/a	n/a
301	1.6	Condition_1	n/a	n/a
310	1.6	Condition_4	n/a	n/a
318	1.6	Condition_1	n/a	n/a
330	1.6	Condition_3	n/a	n/a
339	1.6	Condition_1	n/a	n/a
