onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	UnfamPlace	5	5	0.6507350099273026	1
48	18	UnfamPerson	2	1	0.595138905919157	1
70	18	Object	3	1	0.9305171009618789	1
92	18	FamPlace	4	5	0.6339050899259746	1
114	18	FamPerson	1	6	0.658872858970426	1
136	18	FamPerson	1	1	0.5869592669187114	1
158	18	Object	3	2	0.5300545789068565	1
180	18	UnfamPerson	2	2	0.5713518919656053	1
202	18	UnfamPlace	5	6	0.7072862009517848	1
224	18	FamPlace	4	4	0.5713379438966513	1
268	18	FamPlace	4	3	0.7144805119605735	1
290	18	UnfamPerson	2	6	0.4350162199698389	1
312	18	FamPerson	1	2	0.4978994249831885	1
334	18	UnfamPlace	5	1	0.5397225229535252	1
356	18	Object	3	6	0.5223568889778107	1
378	18	Object	3	4	0.4746558259939775	1
400	18	FamPerson	1	3	0.5782117409398779	1
422	18	UnfamPerson	2	4	0.682635941891931	1
444	18	FamPlace	4	1	0.706839744001627	1
466	18	UnfamPlace	5	4	0.4994813579833135	1
510	18	UnfamPlace	5	2	0.7788792129140347	1
532	18	FamPerson	1	5	0.5873137599555776	1
554	18	FamPlace	4	6	0.6590813829097897	1
576	18	Object	3	3	0.5793254749150947	1
598	18	UnfamPerson	2	3	0.5139997699297965	1
620	18	UnfamPerson	2	5	0.7231706429738551	1
642	18	FamPerson	1	4	0.4665150819346309	1
664	18	FamPlace	4	2	0.6102817559149116	1
686	18	Object	3	5	0.5794306789757684	1
708	18	UnfamPlace	5	3	0.5465133249526843	1
