onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	Object	3	4	0.8720500179333612	1
48	18	FamPlace	4	2	0.8874594939406961	1
70	18	UnfamPlace	5	5	0.6155456770211458	1
92	18	UnfamPerson	2	2	0.567671719007194	1
114	18	FamPerson	1	5	0.4310616150032729	1
136	18	FamPerson	1	2	0.6237764520337805	1
158	18	UnfamPlace	5	4	0.8401356099639088	1
180	18	FamPlace	4	3	0.5196050310041755	1
202	18	Object	3	5	0.5519400029443204	1
224	18	UnfamPerson	2	4	0.8479937129886821	1
268	18	UnfamPerson	2	1	n/a	0
290	18	FamPlace	4	1	0.6870817639864981	1
312	18	FamPerson	1	1	0.5841477529611439	1
334	18	Object	3	1	0.6951869740150869	1
356	18	UnfamPlace	5	6	0.6557617499493062	1
378	18	UnfamPlace	5	1	0.7278799479827285	1
400	18	FamPerson	1	6	0.6793179459637031	1
422	18	FamPlace	4	6	0.7438489870401099	1
444	18	UnfamPerson	2	5	0.7756360060302541	1
466	18	Object	3	3	0.6551816939609125	1
510	18	Object	3	2	0.6314703349489719	1
532	18	FamPerson	1	4	0.5921804830431938	1
554	18	UnfamPerson	2	6	0.856454633991234	1
576	18	UnfamPlace	5	3	0.7592013899702579	1
598	18	FamPlace	4	5	0.543384245946072	1
620	18	FamPlace	4	4	0.7839878309750929	1
642	18	FamPerson	1	3	0.6636755060171708	1
664	18	UnfamPerson	2	3	0.8711518839700148	1
686	18	UnfamPlace	5	2	0.7762545419391245	1
708	18	Object	3	6	1.032729230937548	1
