onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	FamPerson	1	4	0.5610174980247393	1
48	18	UnfamPlace	5	5	0.8172700910363346	1
70	18	FamPlace	4	4	0.6244285339489579	1
92	18	UnfamPerson	2	4	0.8410742989508435	1
114	18	Object	3	6	0.6090171199757606	1
136	18	Object	3	1	0.6415039020357653	1
158	18	FamPlace	4	5	0.8571236679563299	1
180	18	UnfamPlace	5	6	0.5764887699624524	1
202	18	FamPerson	1	6	0.6176762690301985	1
224	18	UnfamPerson	2	2	0.608272589975968	1
268	18	UnfamPerson	2	6	0.5443580580176786	1
290	18	UnfamPlace	5	1	0.7601693150354549	1
312	18	Object	3	4	0.6169792900327593	1
334	18	FamPerson	1	1	0.5525509050348774	1
356	18	FamPlace	4	1	0.7207431979477406	1
378	18	FamPlace	4	2	0.4722441430203617	1
400	18	Object	3	2	0.5286546190036461	1
422	18	UnfamPlace	5	2	0.6800735279684886	1
444	18	UnfamPerson	2	3	0.7530803999397904	1
466	18	FamPerson	1	5	0.5603054700186476	1
510	18	FamPerson	1	3	0.6334023430244997	1
532	18	Object	3	5	0.4333969849394634	1
554	18	UnfamPerson	2	1	0.7046553710242733	1
576	18	FamPlace	4	6	1.033195658936165	1
598	18	UnfamPlace	5	3	0.9600200320128351	1
620	18	UnfamPlace	5	4	0.9599698029924184	1
642	18	Object	3	3	0.6408928789896891	1
664	18	UnfamPerson	2	5	0.5450438369298354	1
686	18	FamPlace	4	3	0.7682049089344218	1
708	18	FamPerson	1	2	0.7448487969813868	1
