onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	FamPlace	4	4	0.701245115022175	1
48	18	UnfamPlace	5	2	0.6625152659835294	1
70	18	FamPerson	1	6	0.5900759729556739	1
92	18	Object	3	4	0.6148052179487422	1
114	18	UnfamPerson	2	6	0.9265666359569877	1
136	18	UnfamPerson	2	3	0.8788282439345494	1
158	18	FamPerson	1	3	0.6454039349919185	1
180	18	UnfamPlace	5	4	0.8780480979476124	1
202	18	FamPlace	4	6	0.9178163650212809	1
224	18	Object	3	6	0.6309193079359829	1
268	18	Object	3	3	n/a	0
290	18	UnfamPlace	5	5	0.5666002249345183	1
312	18	UnfamPerson	2	5	0.5811360059306026	1
334	18	FamPlace	4	5	0.5340384870069101	1
356	18	FamPerson	1	4	0.7343372409231961	1
378	18	FamPerson	1	1	0.7504190179752186	1
400	18	UnfamPerson	2	4	0.8699166839942336	1
422	18	UnfamPlace	5	6	0.7175772920018062	1
444	18	Object	3	1	0.5349621899658814	1
466	18	FamPlace	4	2	0.7176267839968204	1
510	18	FamPlace	4	1	0.9814344729529694	1
532	18	UnfamPerson	2	2	0.8308119099820033	1
554	18	Object	3	2	0.5575963269220665	1
576	18	FamPerson	1	2	0.7339304030174389	1
598	18	UnfamPlace	5	3	0.8220622360240668	1
620	18	UnfamPlace	5	1	0.7738162019522861	1
642	18	UnfamPerson	2	1	0.7744884699350223	1
664	18	Object	3	5	0.6382117850007489	1
686	18	FamPerson	1	5	0.7988774710102007	1
708	18	FamPlace	4	3	0.7827221599873155	1
