onset	duration	trial_type	InstructionToButtonTime	InstructionToToneTime
-29.72	0.0	Unknown2	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown2	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
-29.72	0.0	Unknown1	n/a	n/a
