onset	duration	response_time	response	correct	trial_type	corr_ans	thoughtNumber	Thought	Intensity	probenumber	eventType
0	32.0899689999933	n/a	n/a	n/a	n/a	n/a	1	after graduation	high	n/a	Thoughtblock
32.0899689999933	1.89883249998093	0.919448300002841	2	2.0	go	1	1	after graduation	high	n/a	SART
33.9888014999742	1.99485990000539	0.754650100017898	2	2.0	go	1	1	after graduation	high	n/a	SART
35.9836613999796	1.9931884999969	0.556192500022007	2	2.0	go	1	1	after graduation	high	n/a	SART
37.9768498999765	2.00342150000506	0.625033699994674	2	2.0	go	1	1	after graduation	high	n/a	SART
39.9802713999816	1.99853420001455	0.528532799973618	2	2.0	go	1	1	after graduation	high	n/a	SART
41.9788055999961	2.01307619997533	0.881054699973902	2	2.0	go	1	1	after graduation	high	n/a	SART
43.9918817999715	1.99173570002313	0.544812999985879	2	2.0	go	1	1	after graduation	high	n/a	SART
45.9836174999946	2.01192879999871	n/a	None	None	nogo	1	1	after graduation	high	n/a	SART
47.9955462999933	1.99460760000511	0.776710699981777	2	2.0	go	1	1	after graduation	high	n/a	SART
49.9901538999984	2.00639859997318	n/a	None	None	nogo	1	1	after graduation	high	n/a	SART
51.9965524999716	1.99102130002575	0.776271200011251	2	2.0	go	1	1	after graduation	high	n/a	SART
53.9875737999973	2.00105059999623	n/a	None	None	nogo	1	1	after graduation	high	n/a	SART
55.9886243999936	2.00904449998052	0.532704199984437	2	2.0	go	1	1	after graduation	high	n/a	SART
57.9976688999741	2.00198170001386	0.501241000019945	2	2.0	go	1	1	after graduation	high	n/a	SART
59.9996505999879	1.97568269999465	n/a	None	None	nogo	1	1	after graduation	high	n/a	SART
61.9753332999826	2.0088054999942	0.464458200003719	2	2.0	go	1	1	after graduation	high	n/a	SART
63.9841387999768	1.99959150000359	n/a	None	None	nogo	1	1	after graduation	high	n/a	SART
65.9837302999804	2.00446500000544	0.41113469999982	2	2.0	go	1	1	after graduation	high	n/a	SART
67.9881952999858	2.18165809998754	n/a	n/a	n/a	n/a	n/a	1	after graduation	high	n/a	Reflect
70.1698533999734	4.33449310000287	4.03185329999542	40.0	n/a	n/a	n/a	1	after graduation	high	1	ThoughtProbe
74.5043464999762	3.96903120001662	3.87994339998113	75.0	n/a	n/a	n/a	1	after graduation	high	2	ThoughtProbe
78.4733776999929	1.63269979998586	1.48560260000522	70.0	n/a	n/a	n/a	1	after graduation	high	3	ThoughtProbe
80.1060774999787	3.83897090001847	3.76970159998746	65.0	n/a	n/a	n/a	1	after graduation	high	4	ThoughtProbe
83.9450483999972	2.7985002999776	2.71061189999455	40.0	n/a	n/a	n/a	1	after graduation	high	5	ThoughtProbe
86.7435486999748	3.76055230002385	3.77340779997758	50.0	n/a	n/a	n/a	1	after graduation	high	6	ThoughtProbe
90.5041009999986	7.51566689999891	n/a	n/a	n/a	n/a	n/a	1	after graduation	high	n/a	Fixation
98.0197678999975	32.071295199974	n/a	n/a	n/a	n/a	n/a	2	assignment due	low	n/a	Thoughtblock
130.091063099972	1.93895700000576	1.01989440000034	2	2.0	go	1	2	assignment due	low	n/a	SART
132.030020099977	1.97980650002137	0.688783899997361	2	2.0	go	1	2	assignment due	low	n/a	SART
134.009826599999	2.00607379997382	0.546979299979284	2	2.0	go	1	2	assignment due	low	n/a	SART
136.015900399972	2.00002770000719	0.637880500027677	2	2.0	go	1	2	assignment due	low	n/a	SART
138.01592809998	1.99673949999851	n/a	None	None	nogo	1	2	assignment due	low	n/a	SART
140.012667599978	2.0065023000061	0.897254799987422	2	2.0	go	1	2	assignment due	low	n/a	SART
142.019169899984	1.99179229998845	0.631843900016975	2	2.0	go	1	2	assignment due	low	n/a	SART
144.010962199973	2.01000330000534	0.511780500033638	2	2.0	go	1	2	assignment due	low	n/a	SART
146.020965499978	1.99871549999807	0.825774400029331	2	2.0	go	1	2	assignment due	low	n/a	SART
148.019680999976	2.0062265000015	n/a	None	2.0	go	0	2	assignment due	low	n/a	SART
150.025907499978	1.99602640001103	n/a	None	None	nogo	1	2	assignment due	low	n/a	SART
152.021933899989	2.01025009999285	0.312998899986269	2	2.0	go	1	2	assignment due	low	n/a	SART
154.032183999981	2.00524070000392	n/a	None	None	nogo	1	2	assignment due	low	n/a	SART
156.037424699985	1.97361620000447	0.829579799989006	2	2.0	go	1	2	assignment due	low	n/a	SART
158.01104089999	2.0148923000088	n/a	None	2.0	go	0	2	assignment due	low	n/a	SART
160.025933199999	1.98814389997278	n/a	None	None	nogo	1	2	assignment due	low	n/a	SART
162.014077099971	2.00150610000128	0.444909999991069	2	2.0	go	1	2	assignment due	low	n/a	SART
164.015583199973	1.99122370002442	n/a	None	None	nogo	1	2	assignment due	low	n/a	SART
166.006806899997	2.00487899998552	0.529528999992181	2	2.0	go	1	2	assignment due	low	n/a	SART
168.011685899983	2.1072831999918	n/a	n/a	n/a	n/a	n/a	2	assignment due	low	n/a	Reflect
170.118969099974	3.74073230000795	3.66543730002013	60.0	n/a	n/a	n/a	2	assignment due	low	1	ThoughtProbe
173.859701399982	4.10334689999581	4.01574070000788	75.0	n/a	n/a	n/a	2	assignment due	low	2	ThoughtProbe
177.963048299978	2.59165790001862	2.4353963000176	65.0	n/a	n/a	n/a	2	assignment due	low	3	ThoughtProbe
180.554706199997	3.73595559998648	3.67922390002059	20.0	n/a	n/a	n/a	2	assignment due	low	4	ThoughtProbe
184.290661799983	3.92837889998918	3.84585640000296	15.0	n/a	n/a	n/a	2	assignment due	low	5	ThoughtProbe
