onset	duration	trial_type_a	trial_type_b
0.5	3	RpHit	RpHpH
4.0	3	RpFA	RpFpH
7.5	3	RpMiss	RpCMpH
11.0	3	RpFA	RpFpF
14.5	3	RpCR	RpCMpH
18.0	3	RpFA	RpFpH
21.5	3	RpFA	RpFpH
25.0	3	RpHit	RpHpH
28.5	3	RpHit	RpHpH
32.0	3	RpFA	RpFpF
35.5	3	RpMiss	RpCMpH
39.0	3	RpMiss	RpCMpH
42.5	3	RpHit	RpHpF
46.0	3	RpCR	RpCMpF
49.5	3	RpHit	RpHpH
53.0	3	RpHit	RpHpH
56.5	3	RpCR	RpCMpF
60.0	3	RpCR	RpCMpH
63.5	3	RpCR	RpCMpH
67.0	3	RpHit	RpHpH
70.5	3	RpFA	RpFpH
74.0	3	RpCR	RpCMpH
77.5	3	RpHit	RpHpF
81.0	3	RpMiss	RpCMpF
84.5	3	RpHit	RpHpF
88.0	3	RpHit	RpHpH
91.5	3	RpHit	RpHpF
95.0	3	RpMiss	RpCMpH
98.5	3	RpCR	RpCMpH
102.0	3	RpFA	RpFpF
105.5	3	RpFA	RpFpF
109.0	3	RpHit	RpHpF
112.5	3	RpMiss	RpCMpH
116.0	3	NR	NRpXpX
119.5	3	RpMiss	RpCMpF
123.0	3	RpFA	RpFpF
126.5	3	RpHit	RpHpH
130.0	3	NR	NRpXpX
133.5	3	RpMiss	RpCMpH
137.0	3	RpHit	RpHpH
140.5	3	RpCR	RpCMpF
144.0	3	RpHit	RpHpH
147.5	3	RpFA	RpFpF
151.0	3	RpFA	RpFpF
154.5	3	RpFA	RpFpF
158.0	3	RpHit	RpHpF
161.5	3	RpMiss	RpCMpH
165.0	3	RpFA	RpFpF
168.5	3	RpHit	RpHpH
172.0	3	RpHit	RpHpH
175.5	3	RpFA	RpFpF
179.0	3	RpCR	RpCMpH
182.5	3	RpFA	RpFpH
186.0	3	RpHit	RpHpH
189.5	3	RpHit	RpHpF
193.0	3	RpFA	RpFpF
196.5	3	RpFA	RpFpH
200.0	3	RpHit	RpHpH
203.5	3	RpMiss	RpCMpH
207.0	3	RpMiss	RpCMpF
210.5	3	RpMiss	RpCMpF
214.0	3	RpCR	RpCMpH
217.5	3	NR	NRpXpX
221.0	3	RpHit	RpHpH
224.5	3	RpHit	RpHpH
228.0	3	RpFA	RpFpF
231.5	3	RpFA	RpFpH
235.0	3	RpHit	RpHpH
238.5	3	RpCR	RpCMpH
242.0	3	RpHit	RpHpH
245.5	3	RpFA	RpFpF
249.0	3	RpHit	RpHpF
252.5	3	RpHit	RpHpF
256.0	3	RpFA	RpFpF
259.5	3	RpFA	RpFpF
263.0	3	RpMiss	RpCMpF
266.5	3	RpHit	RpHpH
270.0	3	RpFA	RpFpH
273.5	3	RpFA	RpFpF
277.0	3	RpHit	RpHpF
280.5	3	NR	NRpXpX
284.0	3	RpHit	RpHpF
287.5	3	RpFA	RpFpF
291.0	3	RpHit	RpHpH
294.5	3	RpHit	RpHpF
298.0	3	NR	NRpXpX
301.5	3	RpMiss	RpCMpF
305.0	3	RpFA	RpFpH
308.5	3	RpHit	RpHpH
312.0	3	RpFA	RpFpH
315.5	3	RpFA	RpFpH
319.0	3	RpHit	RpHpH
322.5	3	RpHit	RpHpH
326.0	3	RpHit	RpHpF
329.5	3	RpHit	RpHpH
333.0	3	RpMiss	RpCMpF
336.5	3	RpFA	RpFpH
340.0	3	RpHit	RpHpF
343.5	3	RpHit	RpHpF
347.0	3	RpFA	RpFpH
350.5	3	RpHit	RpHpH
354.0	3	RpHit	RpHpF
357.5	3	RpMiss	RpCMpH
361.0	3	RpHit	RpHpH
364.5	3	RpHit	RpHpF
368.0	3	RpHit	RpHpH
371.5	3	NR	NRpXpX
375.0	3	RpFA	RpFpF
378.5	3	RpCR	RpCMpF
382.0	3	RpFA	RpFpF
385.5	3	RpFA	RpFpF
389.0	3	RpMiss	RpCMpF
392.5	3	RpFA	RpFpH
396.0	3	RpFA	RpFpF
399.5	3	RpFA	RpFpH
403.0	3	RpHit	RpHpH
406.5	3	RpMiss	RpCMpH
410.0	3	RpHit	RpHpH
413.5	3	RpHit	RpHpF
417.0	3	RpHit	RpHpH
420.5	3	RpFA	RpFpH
424.0	3	RpHit	RpHpH
427.5	3	RpFA	RpFpH
431.0	3	RpFA	RpFpF
434.5	3	RpMiss	RpCMpH
438.0	3	RpFA	RpFpF
441.5	3	RpMiss	RpCMpH
445.0	3	NR	NRpXpX
448.5	3	RpFA	RpFpF
452.0	3	RpFA	RpFpF
455.5	3	RpFA	RpFpF
459.0	3	RpHit	RpHpH
462.5	3	RpHit	RpHpH
466.0	3	RpHit	RpHpH
469.5	3	RpMiss	RpCMpF
473.0	3	RpHit	RpHpH
476.5	3	RpHit	RpHpH
480.0	3	RpFA	RpFpF
483.5	3	RpCR	RpCMpF
487.0	3	RpHit	RpHpH
490.5	3	RpCR	RpCMpH
494.0	3	RpFA	RpFpF
497.5	3	RpFA	RpFpF
501.0	3	RpHit	RpHpF
504.5	3	NR	NRpXpX
508.0	3	RpHit	RpHpH
511.5	3	RpFA	RpFpF
515.0	3	RpCR	RpCMpH
518.5	3	RpHit	RpHpH
522.0	3	RpHit	RpHpF
525.5	3	RpFA	RpFpH
529.0	3	RpCR	RpCMpF
532.5	3	RpFA	RpFpH
536.0	3	RpHit	RpHpF
539.5	3	RpMiss	RpCMpH
543.0	3	RpHit	RpHpH
546.5	3	RpFA	RpFpH
550.0	3	RpHit	RpHpH
553.5	3	RpHit	RpHpH
557.0	3	RpMiss	RpCMpF
560.5	3	RpHit	RpHpH
564.0	3	RpHit	RpHpH
567.5	3	RpFA	RpFpF
571.0	3	RpHit	RpHpH
574.5	3	RpMiss	RpCMpH
578.0	3	RpFA	RpFpF
581.5	3	NR	NRpXpX
585.0	3	RpHit	RpHpH
588.5	3	RpCR	RpCMpH
592.0	3	RpFA	RpFpH
595.5	3	NR	NRpXpX
599.0	3	RpFA	RpFpH
602.5	3	RpHit	RpHpH
606.0	3	RpFA	RpFpF
609.5	3	RpHit	RpHpH
613.0	3	NR	NRpXpX
616.5	3	RpFA	RpFpH
620.0	3	RpFA	RpFpF
623.5	3	NR	NRpXpX
627.0	3	RpHit	RpHpH
630.5	3	RpMiss	RpCMpH
634.0	3	RpFA	RpFpH
637.5	3	RpFA	RpFpH
641.0	3	RpFA	RpFpF
644.5	3	RpHit	RpHpH
648.0	3	NR	NRpXpX
651.5	3	RpFA	RpFpF
655.0	3	NR	NRpXpX
658.5	3	RpMiss	RpCMpF
662.0	3	RpMiss	RpCMpH
665.5	3	RpHit	RpHpF
669.0	3	NR	NRpXpX
672.5	3	NR	NRpXpX
676.0	3	NR	NRpXpX
679.5	3	RpFA	RpFpH
683.0	3	RpFA	RpFpF
686.5	3	RpMiss	RpCMpF
690.0	3	RpHit	RpHpH
693.5	3	RpHit	RpHpH
697.0	3	RpHit	RpHpH
700.5	3	RpHit	RpHpH
704.0	3	RpCR	RpCMpH
707.5	3	RpCR	RpCMpF
711.0	3	RpFA	RpFpH
714.5	3	RpFA	RpFpF
718.0	3	RpHit	RpHpF
721.5	3	RpFA	RpFpH
725.0	3	RpMiss	RpCMpH
728.5	3	RpCR	RpCMpF
732.0	3	RpMiss	RpCMpH
735.5	3	RpMiss	RpCMpH
739.0	3	RpMiss	RpCMpF
742.5	3	RpFA	RpFpH
746.0	3	RpHit	RpHpH
749.5	3	RpMiss	RpCMpH
753.0	3	RpHit	RpHpH
