onset	duration	trial_type_a	trial_type_b
0.5	4.5	NR	NRfX
5.5	4.5	NR	NRfX
10.5	4.5	Hit	HfH
15.5	4.5	Hit	HfC
20.5	4.5	FA	FfF
25.5	4.5	FA	FfF
30.5	4.5	Hit	HfH
35.5	4.5	Hit	HfH
40.5	4.5	FA	FfF
45.5	4.5	FA	FfF
50.5	4.5	FA	FfH
55.5	4.5	Hit	HfH
60.5	4.5	Hit	HfC
65.5	4.5	FA	FfF
70.5	4.5	NR	NRfX
75.5	4.5	FA	FfF
80.5	4.5	Hit	HfH
85.5	4.5	Hit	HfM
90.5	4.5	Hit	HfH
95.5	4.5	Hit	HfH
100.5	4.5	Hit	HfH
105.5	4.5	FA	FfH
110.5	4.5	Hit	HfH
115.5	4.5	NR	NRfX
120.5	4.5	Hit	HfF
125.5	4.5	Hit	HfH
130.5	4.5	Hit	HfC
135.5	4.5	Hit	HfF
140.5	4.5	Hit	HfH
145.5	4.5	FA	FfH
150.5	4.5	Hit	HfF
155.5	4.5	Hit	HfF
160.5	4.5	Hit	HfM
165.5	4.5	Hit	HfH
170.5	4.5	FA	FfF
175.5	4.5	FA	FfH
180.5	4.5	Hit	HfC
185.5	4.5	Hit	HfH
190.5	4.5	Hit	HfH
195.5	4.5	Hit	HfH
200.5	4.5	FA	FfM
205.5	4.5	Hit	HfF
210.5	4.5	Hit	HfH
215.5	4.5	Hit	HfF
220.5	4.5	Hit	HfF
225.5	4.5	Hit	HfM
230.5	4.5	Hit	HfM
235.5	4.5	FA	FfH
240.5	4.5	FA	FfF
245.5	4.5	Hit	HfH
250.5	4.5	Hit	HfF
255.5	4.5	FA	FfH
260.5	4.5	Hit	HfF
265.5	4.5	FA	FfM
