onset	duration	trial_type_a	trial_type_b
0.5	4.5	FA	FfC
5.5	4.5	FA	FfF
10.5	4.5	Hit	HfM
15.5	4.5	Hit	HfC
20.5	4.5	FA	FfF
25.5	4.5	Hit	HfH
30.5	4.5	Hit	HfC
35.5	4.5	FA	FfF
40.5	4.5	Hit	HfH
45.5	4.5	Hit	HfH
50.5	4.5	FA	FfF
55.5	4.5	NR	NRfX
60.5	4.5	NR	NRfX
65.5	4.5	Hit	HfH
70.5	4.5	FA	FfF
75.5	4.5	Hit	HfH
80.5	4.5	Hit	HfF
85.5	4.5	Hit	HfC
90.5	4.5	FA	FfM
95.5	4.5	FA	FfH
100.5	4.5	Hit	HfF
105.5	4.5	Hit	HfC
110.5	4.5	Hit	HfH
115.5	4.5	NR	NRfX
120.5	4.5	FA	FfC
125.5	4.5	Hit	HfF
130.5	4.5	FA	FfF
135.5	4.5	NR	NRfX
140.5	4.5	FA	FfF
145.5	4.5	Hit	HfF
150.5	4.5	Hit	HfH
155.5	4.5	Hit	HfF
160.5	4.5	FA	FfC
165.5	4.5	FA	FfF
170.5	4.5	Hit	HfF
175.5	4.5	FA	FfF
180.5	4.5	FA	FfC
185.5	4.5	Hit	HfC
190.5	4.5	Hit	HfC
195.5	4.5	Hit	HfF
200.5	4.5	Hit	HfH
205.5	4.5	Hit	HfM
210.5	4.5	Hit	HfF
215.5	4.5	FA	FfH
220.5	4.5	Hit	HfF
225.5	4.5	FA	FfF
230.5	4.5	Hit	HfH
235.5	4.5	Hit	HfH
240.5	4.5	FA	FfF
245.5	4.5	FA	FfF
250.5	4.5	Hit	HfH
255.5	4.5	FA	FfH
260.5	4.5	Hit	HfC
265.5	4.5	Hit	HfH
