onset	duration	trial_type_a	trial_type_b
0.5	3	FA	FpF
4.0	3	FA	FpF
7.5	3	Hit	HpH
11.0	3	Hit	HpH
14.5	3	FA	FpF
18.0	3	CR	CpH
21.5	3	FA	FpH
25.0	3	Hit	HpF
28.5	3	Miss	MpH
32.0	3	Miss	MpH
35.5	3	FA	FpH
39.0	3	FA	FpH
42.5	3	FA	FpH
46.0	3	Hit	HpH
49.5	3	Hit	HpF
53.0	3	FA	FpH
56.5	3	FA	FpH
60.0	3	NR	NRpX
63.5	3	NR	NRpX
67.0	3	CR	CpH
70.5	3	CR	CpF
74.0	3	CR	CpH
77.5	3	Hit	HpH
81.0	3	CR	CpH
84.5	3	Hit	HpF
88.0	3	FA	FpH
91.5	3	CR	CpH
95.0	3	CR	CpF
98.5	3	FA	FpF
102.0	3	Hit	HpF
105.5	3	FA	FpH
109.0	3	FA	FpF
112.5	3	FA	FpF
116.0	3	FA	FpF
119.5	3	FA	FpF
123.0	3	Hit	HpH
126.5	3	Hit	HpF
130.0	3	FA	FpF
133.5	3	Miss	MpH
137.0	3	CR	CpH
140.5	3	CR	CpH
144.0	3	Miss	MpF
147.5	3	FA	FpF
151.0	3	Hit	HpF
154.5	3	FA	FpH
158.0	3	Hit	HpH
161.5	3	CR	CpF
165.0	3	FA	FpH
168.5	3	Hit	HpF
172.0	3	FA	FpH
175.5	3	CR	CpH
179.0	3	Miss	MpH
182.5	3	Hit	HpH
186.0	3	NR	NRpX
189.5	3	NR	NRpX
193.0	3	CR	CpH
196.5	3	Miss	MpH
200.0	3	Hit	HpF
203.5	3	FA	FpF
207.0	3	CR	CpH
210.5	3	CR	CpF
214.0	3	Hit	HpH
217.5	3	Hit	HpF
221.0	3	Hit	HpH
224.5	3	FA	FpH
228.0	3	Hit	HpH
231.5	3	Hit	HpH
235.0	3	Miss	MpH
238.5	3	NR	NRpX
242.0	3	Miss	MpF
245.5	3	CR	CpF
249.0	3	Hit	HpF
252.5	3	FA	FpH
256.0	3	Miss	MpF
259.5	3	NR	NRpX
263.0	3	Hit	HpH
266.5	3	Hit	HpH
270.0	3	CR	CpH
273.5	3	FA	FpF
277.0	3	Hit	HpH
280.5	3	Hit	HpH
284.0	3	Hit	HpH
287.5	3	Hit	HpH
291.0	3	NR	NRpX
294.5	3	Hit	HpH
298.0	3	Miss	MpF
301.5	3	Hit	HpH
305.0	3	Hit	HpH
308.5	3	NR	NRpX
312.0	3	CR	CpF
315.5	3	FA	FpH
319.0	3	FA	FpH
322.5	3	Miss	MpH
326.0	3	Hit	HpF
329.5	3	FA	FpF
333.0	3	Hit	HpH
336.5	3	Hit	HpH
340.0	3	Hit	HpH
343.5	3	Hit	HpH
347.0	3	Hit	HpH
350.5	3	Miss	MpH
354.0	3	CR	CpH
357.5	3	Hit	HpH
361.0	3	Hit	HpF
364.5	3	CR	CpH
368.0	3	Miss	MpF
371.5	3	Hit	HpH
375.0	3	FA	FpF
